ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
4107	find arrangements dallas	O O B-fromloc.city_name	atis_flight	2	24 24 79
4776	what flights to	O O O	atis_flight	2	24 24 24
2896	does continental airlines fly from denver to san francisco	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 65 66 24 24 79 24 73 74
4262	the from seattle	O O B-toloc.city_name	atis_flight	2	24 24 73
17001	what leave atlanta june	O O B-fromloc.city_name B-depart_date.month_name	atis_flight	2	24 24 79 87
10603	i to arriving boston	O O O B-toloc.city_name	atis_flight	2	24 24 24 73
7932	when are the	O O O	atis_flight	2	24 24 24
2232	los on monday	B-fromloc.city_name O B-depart_date.day_name	atis_flight	2	79 24 107
18619	what of	O O	atis_aircraft	7	24 24
3453	please list the morning flights from st. louis to st. paul	O O O B-depart_time.period_of_day O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 24 91 24 24 79 80 24 73 74
1211	when is the first flight leaving from oakland to boston	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 141 24 24 24 79 24 73
8140	show baltimore	O B-fromloc.city_name	atis_flight	2	24 79
986	can you tell me about flights from san jose to nashville on saturday afternoon	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day	atis_flight	2	24 24 24 24 24 24 24 79 80 24 73 24 107 91
16462	the and international	O O I-airport_name	atis_flight	2	24 24 11
19583	transport in	O O	atis_ground_service	12	24 24
18849	transportation denver	O B-city_name	atis_ground_service	12	24 12
8311	latest flight	B-flight_mod O	atis_flight	2	141 24
15	round fare boston	B-round_trip O B-fromloc.city_name	atis_airfare	0	6 24 79
8160	that leave on include whether what	O O O O O O	atis_flight	2	24 24 24 24 24 24
