ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
4351	fly from toronto to san diego	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airline	15	24 24 79 24 73 74
2501	what is united airlines service boston san francisco	O O B-airline_name I-airline_name O B-fromloc.city_name B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 65 66 24 79 73 74
11	of us 345 boston to pittsburgh	O B-airline_code B-flight_number B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 129 125 79 24 73
3561	flight from pittsburgh los angeles thursday evening	O O B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day	atis_flight	2	24 24 79 73 74 107 91
749	flight denver washington dc on wednesday	O B-fromloc.city_name B-toloc.city_name B-toloc.state_code O B-depart_date.day_name	atis_flight	2	24 79 73 115 24 107
592	what flights on delta fort worth	O O O B-airline_name B-fromloc.city_name I-fromloc.city_name	atis_flight	2	24 24 24 65 79 80
158	does cost on delta dallas baltimore	O O O B-airline_name B-fromloc.city_name B-toloc.city_name	atis_airfare	0	24 24 24 65 79 73
2701	show flights san francisco denver thursday	O O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name B-depart_date.day_name	atis_flight	2	24 24 79 80 73 107
4380	fly st. petersburg milwaukee milwaukee to tacoma	O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name B-fromloc.city_name O B-toloc.city_name	atis_airline	15	24 79 80 73 79 24 73
2473	like oakland philadelphia at one the afternoon 5 pm	O B-fromloc.city_name B-toloc.city_name O B-depart_time.time O B-depart_time.period_of_day B-arrive_time.time I-arrive_time.time	atis_flight	2	24 79 73 24 14 24 91 103 104
1379	the flights charlotte atlanta around 7 pm next tuesday	O O B-fromloc.city_name B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.date_relative B-depart_date.day_name	atis_flight	2	24 24 79 73 101 14 15 153 107
1635	show the cheapest round trip new york san jose	O O B-cost_relative B-round_trip I-round_trip B-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 55 6 7 79 80 73 74
3447	nonstop flights denver to boston	B-flight_stop O B-toloc.city_name O B-toloc.city_name	atis_flight	2	59 24 73 24 73
783	show me daily boston coach class	O O B-flight_days B-fromloc.city_name B-class_type I-class_type	atis_flight	2	24 24 2 79 89 90
2876	please afternoon charlotte to minneapolis	O B-depart_time.period_of_day B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 91 79 24 73
1304	what's the earliest phoenix to salt lake city	O O B-flight_mod B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 141 79 24 73 74 74
39	you the round trip from denver atlanta	O O B-round_trip I-round_trip O B-fromloc.city_name B-toloc.city_name	atis_airfare	0	24 24 6 7 24 79 73
1697	los angeles to pittsburgh on monday afternoon	B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day	atis_flight	2	79 80 24 73 24 107 91
3213	from atlanta to denver september fifteenth	O B-fromloc.city_name O B-toloc.city_name B-depart_date.month_name B-depart_date.day_number	atis_flight	2	24 79 24 73 87 97
2229	a flight long beach st. louis dallas	O O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name B-stoploc.city_name	atis_flight	2	24 24 79 80 73 74 133
1357	a me denver san francisco on us air	O O B-fromloc.city_name B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name	atis_flight	2	24 24 79 73 74 24 65 66
2040	in st. louis st. paul on thursday morning	O B-toloc.city_name I-toloc.city_name B-fromloc.city_name I-fromloc.city_name O B-arrive_date.day_name B-arrive_time.period_of_day	atis_flight	2	24 73 74 79 80 24 121 49
2586	from boston to denver wednesday	O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name	atis_flight	2	24 79 24 73 107
2474	round trip flight atlanta dallas via denver	B-round_trip I-round_trip O B-fromloc.city_name B-toloc.city_name O B-stoploc.city_name	atis_flight	2	6 7 24 79 73 24 133
1118	show philadelphia denver on monday	O B-fromloc.city_name B-toloc.city_name O B-depart_date.day_name	atis_flight	2	24 79 73 24 107
2757	have charlotte to atlanta next tuesday	O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name	atis_flight	2	24 79 24 73 153 107
3717	fit on 73s	O O B-aircraft_code	atis_capacity	3	24 24 143
4340	what is ff	O O B-airline_code	atis_airline	15	24 24 129
2499	are provided by delta airlines	O O O B-airline_name I-airline_name	atis_flight	2	24 24 24 65 66
1099	give the continental from seattle	O O B-airline_name O B-fromloc.city_name	atis_flight	2	24 24 65 24 79
2397	earliest boston to san francisco a meal	B-flight_mod B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-meal	atis_flight	2	141 79 24 73 74 24 123
3036	a boston to san francisco with denver	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name	atis_flight	2	24 79 24 73 74 24 133
3957	transport in denver	O O B-city_name	atis_ground_service	12	24 24 12
4367	what airlines philadelphia to san francisco	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airline	15	24 24 79 24 73 74
