ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
543	was der günstigste von nach abflug dreißigsten september	O O B-cost_relative O O O B-depart_date.day_number B-depart_date.month_name	atis_airfare	0	24 24 55 24 24 24 97 87
14585	am donnerstag flüge new york nach	O B-depart_date.day_name O B-fromloc.city_name I-fromloc.city_name O	atis_flight	2	24 107 24 79 80 24
20470	welche ea abkürzung	O B-airline_code O	atis_airline	15	24 129 24
5704	airlines von pittsburgh nach	I-airline_name O B-fromloc.city_name O	atis_flight	2	66 24 79 24
4941	san bitte mit einem zwischenstopp denver	B-fromloc.city_name O O O O B-stoploc.city_name	atis_flight	2	79 24 24 24 24 133
5757	miami nach cleveland us air die nach abfliegen	B-fromloc.city_name O B-toloc.city_name B-airline_name I-airline_name O B-depart_time.time_relative O	atis_flight	2	79 24 73 65 66 24 101 24
3170	bitte nenne mir die flüge zwischen boston und philadelphia am nächsten donnerstag	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name	atis_flight	2	24 24 24 24 24 24 79 24 73 24 153 107
4186	was bedeutet yn	O O B-fare_basis_code	atis_abbreviation	14	24 24 31
13986	zeige direkt von nach die am nach fliegen	O B-flight_stop O O O O B-depart_time.time_relative O	atis_flight	2	24 59 24 24 24 24 101 24
10995	flüge von philadelphia am morgen	O O B-fromloc.city_name O B-depart_time.period_of_day	atis_flight	2	24 24 79 24 91
9295	die flüge von nach angeles	O O O O I-toloc.city_name	atis_flight	2	24 24 24 24 74
20678	früheste abflugzeit von nach denver	B-flight_mod B-flight_time O O B-toloc.city_name	atis_flight_time	11	141 151 24 24 73
19212	welchen gibt san diego	O O B-city_name I-city_name	atis_ground_service	12	24 24 12 13
11754	ich in und möchte eine nach	O O O O O O	atis_flight	2	24 24 24 24 24 24
11456	es sonntag von baltimore nach	O B-depart_date.day_name O B-fromloc.city_name O	atis_flight	2	24 107 24 79 24
5752	eine liste der milwaukee st. louis	O O O B-fromloc.city_name B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 24 79 73 74
6393	möchte am juli von nach	O O B-depart_date.month_name O O	atis_flight	2	24 24 87 24 24
1011	san francisco nach boston , bitte mit einem zwischenstopp in denver	B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O O O B-stoploc.city_name	atis_flight	2	79 80 24 73 24 24 24 24 24 24 133
5955	flügen am dienstag von dallas dallas nach boston nach	O O B-depart_date.day_name O B-toloc.city_name B-fromloc.city_name O B-fromloc.city_name O	atis_flight	2	24 24 107 24 73 79 24 79 24
10284	gibt am zehnten august zwischen pittsburgh	O O B-depart_date.day_number B-depart_date.month_name O B-fromloc.city_name	atis_flight	2	24 24 97 87 24 79
1447	was die serviceklassen und preise	O O O O O	atis_airfare	0	24 24 24 24 24
16595	welche flüge gibt washington und	O O O B-fromloc.city_name O	atis_flight	2	24 24 24 79 24
5411	philadelphia nach woche dienstag zeige flüge	B-fromloc.city_name O O B-depart_date.day_name O O	atis_flight	2	79 24 24 107 24 24
16867	ist früheste von francisco am morgen des siebenundzwanzigsten	O B-flight_mod O I-toloc.city_name O B-depart_time.period_of_day O B-depart_date.day_number	atis_flight	2	24 141 24 74 24 91 24 97
7169	welche flüge gibt von	O O O O	atis_flight	2	24 24 24 24
2217	zeige flüge von pittsburgh nach baltimore	O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 79 24 73
7132	die flüge am von atlanta	O O O O B-fromloc.city_name	atis_flight	2	24 24 24 24 79
3485	welche flüge sind am samstag von dallas nach san francisco verfügbar	O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_flight	2	24 24 24 24 107 24 79 24 73 74 24
12856	zu flügen von pittsburgh francisco die nach uhr mittags abfliegen	O O O B-fromloc.city_name I-toloc.city_name O B-depart_time.time_relative I-depart_time.time I-depart_time.time O	atis_flight	2	24 24 24 79 74 24 101 15 15 24
