ID	TEXT	INTENT	SLOTS	INTENT_ID	SLOTS_ID
1696	what car rentals are available next sunday from denver airport	atis_ground_service	O B-transport_type I-transport_type O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.airport_name I-fromloc.airport_name	13	0 118 119 0 0 35 36 0 69 70
3280	what is the earliest flight from tampa to milwaukee tomorrow	atis_flight	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative	9	0 0 0 61 0 0 71 0 112 40
3631	houston airports	atis_airport	B-city_name O	4	25 0
4252	i'd like to buy a coach class ticket for a flight from denver to atlanta	atis_airfare	O O O O O B-class_type I-class_type O O O O O B-fromloc.city_name O B-toloc.city_name	2	0 0 0 0 0 27 28 0 0 0 0 0 71 0 112
1382	how much is a flight from washington to montreal	atis_airfare	O O O O O O B-fromloc.city_name O B-toloc.city_name	2	0 0 0 0 0 0 71 0 112
2695	show me the evening flights from atlanta to boston	atis_flight	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 46 0 0 71 0 112
4186	show flights first class on american from dallas fort worth to san francisco international	atis_flight	O O B-class_type I-class_type O B-airline_name O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name	9	0 0 27 28 0 3 0 71 72 72 0 110 111 111
1197	need a flight from pittsburgh to denver	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 71 0 112
4338	what's the cheapest flight from denver to pittsburgh for both one way and round trip flights	atis_flight	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O O B-round_trip I-round_trip O B-round_trip I-round_trip O	9	0 0 30 0 0 71 0 112 0 0 96 97 0 96 97 0
1441	flights from newark to cleveland	atis_flight	O O B-fromloc.city_name O B-toloc.city_name	9	0 0 71 0 112
2697	what flights can i take between boston and atlanta so that when i leave boston i will have the maximum amount of time on the ground in atlanta and still return in the same day	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-fromloc.city_name O O O O O O O O O O O O B-toloc.city_name O O O O O O B-return_date.date_relative	9	0 0 0 0 0 0 71 0 112 0 0 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0 0 112 0 0 0 0 0 0 87
1414	when is the first flight in the morning from boston to denver	atis_flight	O O O B-flight_mod O O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 61 0 0 0 46 0 71 0 112
1222	please give me a flight leaving boston going to washington arriving in washington at 5 o'clock in the afternoon	atis_flight	O O O O O O B-fromloc.city_name O O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day	9	0 0 0 0 0 0 71 0 0 112 0 0 112 0 21 22 0 0 17
1835	i'd like to see the flights from pittsburgh to philadelphia	atis_flight	O O O O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 0 0 0 71 0 112
3469	i would like a flight on continental airlines leaving from boston making a stop in denver and arriving in san francisco	atis_flight	O O O O O O B-airline_name I-airline_name O O B-fromloc.city_name O O O O B-stoploc.city_name O O O B-toloc.city_name I-toloc.city_name	9	0 0 0 0 0 0 3 4 0 0 71 0 0 0 0 101 0 0 0 112 113
93	latest flight from houston to san jose	atis_flight	B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	9	61 0 0 71 0 112 113
3903	show me flights on monday from philadelphia to boston after 7 am	atis_flight	O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time	9	0 0 0 0 36 0 71 0 112 52 50 51
4248	show me all the flights from burbank	atis_flight	O O O O O O B-fromloc.city_name	9	0 0 0 0 0 0 71
2962	what are the flights from dallas to philadelphia	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 0 71 0 112
620	i need a connecting flight on continental on june fifth from chicago to seattle	atis_flight	O O O B-connect O O B-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 29 0 0 3 0 39 37 0 71 0 112
2694	show me a list of ground transportation at denver	atis_ground_service	O O O O O O O O B-city_name	13	0 0 0 0 0 0 0 0 25
1720	wednesday from baltimore to newark	atis_flight	B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name	9	36 0 71 0 112
2453	what flights leave san francisco after 8 pm and go to dallas fort worth	atis_flight	O O O B-fromloc.city_name I-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name	9	0 0 0 71 72 52 50 51 0 0 0 112 113 113
3934	show me flights from tampa to st. louis leaving before 10 am	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time	9	0 0 0 0 71 0 112 113 0 52 50 51
2797	dallas ground transportation	atis_ground_service	B-city_name O O	13	25 0 0
3225	what are connecting flights from chicago to seattle on june first	atis_flight	O O B-connect O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number	9	0 0 29 0 0 71 0 112 0 39 37
499	list all day time flights from pittsburgh to boston	atis_flight	O O B-flight_mod I-flight_mod O O B-fromloc.city_name O B-toloc.city_name	9	0 0 61 62 0 0 71 0 112
1897	which airlines have flights from san francisco to washington by way of indianapolis	atis_airline	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name	3	0 0 0 0 0 71 72 0 112 0 0 0 101
1733	show me all the flights from new york to milwaukee	atis_flight	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 0 0 71 72 0 112
1527	information on flights from denver to philadelphia	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 71 0 112
3895	please list pm flights from boston pittsburgh	atis_flight	O O B-depart_time.period_of_day O O B-fromloc.city_name B-fromloc.city_name	9	0 0 46 0 0 71 71
2984	what flights does delta have between dallas and denver	atis_flight	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 3 0 0 71 0 112
