ID	TEXT	INTENT	SLOTS	INTENT_ID	SLOTS_ID
2862	how much does flight dl 402 from denver to philadelphia cost	atis_airfare	O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name O	2	0 0 0 0 2 63 0 71 0 112 0
2944	what is the least expensive one way fare between philadelphia and boston	atis_airfare	O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	2	0 0 0 30 31 96 97 0 0 71 0 112
692	list round trip flights from orlando to kansas city	atis_flight	O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	9	0 96 97 0 0 71 0 112 113
3822	what about flights from boston to san diego	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	9	0 0 0 0 71 0 112 113
582	what flights are available from boston to denver	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 0 71 0 112
1587	what flights are there from phoenix to milwaukee	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 0 71 0 112
3329	please tell me which airline has the most departures from atlanta	atis_airline	O O O O O O O B-mod O O B-fromloc.city_name	3	0 0 0 0 0 0 0 81 0 0 71
2177	what is the coach economy class night service from boston to san francisco	atis_flight	O O O B-class_type B-economy I-economy B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	9	0 0 0 27 54 55 46 0 0 71 0 112 113
3315	price of flight from nashville to cleveland	atis_airfare	O O O O B-fromloc.city_name O B-toloc.city_name	2	0 0 0 0 71 0 112
1258	atlanta to pittsburgh	atis_flight	B-fromloc.city_name O B-toloc.city_name	9	71 0 112
4170	what flights are available from pittsburgh to boston on saturday	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name	9	0 0 0 0 0 71 0 112 0 36
4433	is there ground transportation available in denver	atis_ground_service	O O O O O O B-city_name	13	0 0 0 0 0 0 25
967	i would like a flight from nashville to st. louis that arrives in st. louis around 6 pm and is nonstop	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-flight_stop	9	0 0 0 0 0 0 71 0 112 113 0 0 0 112 113 23 21 22 0 0 64
2881	what is the earliest flight that i can take from boston to baltimore	atis_flight	O O O B-flight_mod O O O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 61 0 0 0 0 0 0 71 0 112
2799	please list information regarding san francisco airport	atis_airport	O O O O B-airport_name I-airport_name I-airport_name	4	0 0 0 0 6 7 7
2506	what northwest airline flights leave denver before noon	atis_flight	O B-airline_name I-airline_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time	9	0 3 4 0 0 71 52 50
2052	what's the first class fare round trip from atlanta to denver	atis_airfare	O O B-class_type I-class_type O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name	2	0 0 27 28 0 96 97 0 71 0 112
1440	i'd like to see all flights from baltimore to philadelphia	atis_flight	O O O O O O O B-fromloc.city_name O B-toloc.city_name	9	0 0 0 0 0 0 0 71 0 112
3280	what is the earliest flight from tampa to milwaukee tomorrow	atis_flight	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative	9	0 0 0 61 0 0 71 0 112 40
4250	show me the latest flight from san francisco to denver	atis_flight	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	9	0 0 0 61 0 0 71 72 0 112
2706	san francisco to denver tuesday	atis_flight	B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name	9	71 72 0 112 36
