ID	TEXT	INTENT	INTENT_ID
3997	what ground transportation is available in denver	atis_ground_service	13
3026	show me fares from dallas to baltimore that cost less than 300 dollars	atis_airfare	2
1910	flights on american from phoenix to chicago on wednesday	atis_flight	9
584	i want to arrive in detroit around 6 pm and i'm leaving from chicago	atis_flight	9
4254	please list the flights from charlotte to long beach arriving after lunch time	atis_flight	9
810	does dl stand for delta	atis_abbreviation	0
1670	show me the cheapest flights from san francisco to philadelphia	atis_flight	9
287	how much is a first class ticket from baltimore to san francisco	atis_airfare	2
1051	which airlines fly between baltimore and san francisco	atis_airline	3
3586	please list the sunday flights from dallas to houston on american airlines	atis_flight	9
2185	show me the flight that leaves philadelphia in the afternoon and arrives in the evening in denver	atis_flight	9
2578	what are the flights available in the morning between boston and denver	atis_flight	9
4223	what flights are available from san francisco to pittsburgh on monday morning	atis_flight	9
238	explain fare code qx	atis_abbreviation	0
2575	flights between new york and san jose	atis_flight	9
2481	list all daily flights between boston and oakland using american airlines	atis_flight	9
3565	all flights from boston to washington dc on november eleventh	atis_flight	9
1620	fares from dallas to baltimore	atis_airfare	2
1551	flights from cincinnati to los angeles departing after 718 am	atis_flight	9
1258	atlanta to pittsburgh	atis_flight	9
4110	all flights from montreal less than 150 dollars	atis_flight	9
1115	list all takeoffs and landings at general mitchell international	atis_flight	9
416	show me ground transportation information for pittsburgh	atis_ground_service	13
857	i want to fly united airlines from boston to denver	atis_flight	9
1044	which flights go from philadelphia to san francisco	atis_flight	9
1842	list daily flights from boston to atlanta	atis_flight	9
889	pittsburgh to boston saturday	atis_flight	9
4089	which airlines fly from boston to washington dc via other cities	atis_airline	3
2101	on september fourth i'll be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest	atis_flight	9
2986	what flights are there from baltimore to san francisco	atis_flight	9
1231	do you have a delta flight to san francisco from denver on august thirtieth in the early morning	atis_flight	9
4231	please list flights between denver and boston	atis_flight	9
3825	show me oakland to dallas flights	atis_flight	9
2990	on august thirtieth please schedule me on a flight from denver to san francisco early in the morning	atis_flight	9
1174	i need information on flights leaving philadelphia on friday arriving in oakland california	atis_flight	9
2609	give me flights from pittsburgh to baltimore	atis_flight	9
1444	do you have an 819 flight from denver to san francisco	atis_flight	9
1108	fine can you give me information on ground transportation in washington dc to downtown	atis_ground_service	13
1803	is there a flight from philadelphia to oakland with a stop in dallas	atis_flight	9
