ID	TEXT	INTENT	SLOTS
0	i want to fly from baltimore to dallas round trip	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip
1	round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars	atis_airfare	B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount
2	show me the flights arriving on baltimore on june fourteenth	atis_flight	O O O O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number
3	what are the flights which depart from san francisco fly to washington via indianapolis and arrive by 9 pm	atis_flight	O O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O B-stoploc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
4	which airlines fly from boston to washington dc via other cities	atis_airline	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O
5	i'm looking for a flight from charlotte to las vegas that stops in st. louis hopefully a dinner flight how can i find that out	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name I-stoploc.city_name O O B-meal_description O O O O O O O
6	okay and then from pittsburgh i'd like to travel to atlanta on september fourth	atis_flight	O O O O B-fromloc.city_name O O O O O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
7	show me all the flights from philadelphia to cincinnati	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name
8	okay i'd like a flight on us air from indianapolis to san diego in the afternoon what's available	atis_flight	O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day O O
9	on tuesday what flights leave phoenix to st. paul minnesota and leave after noon	atis_flight	O B-depart_date.day_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O O B-depart_time.time_relative B-depart_time.time
10	american flights from chicago to los angeles morning	atis_flight	B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_of_day
11	what types of ground transportation are there to san francisco airport	atis_ground_service	O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
12	in the next two days i want to fly from nashville to san jose or to tacoma	atis_flight	O O B-depart_date.date_relative O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-or O B-toloc.city_name
13	does continental airlines fly from denver to san francisco	atis_flight	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
14	chicago to milwaukee	atis_flight	B-fromloc.city_name O B-toloc.city_name
15	how many flights does twa have in business class	atis_quantity	O O O O B-airline_code O O B-class_type I-class_type
16	show me the flights from dallas to baltimore in first class	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type
17	i'd like to find the least expensive one way fare from boston to philadelphia	atis_airfare	O O O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
18	how many booking classes are there	atis_quantity	O O O O O O
19	what are the flights from tacoma to san jose on wednesday the nineteenth	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_date.day_number
20	what flights leave pittsburgh july fifth after 7 pm and arrive in san francisco	atis_flight	O O O B-fromloc.city_name B-depart_date.month_name B-depart_date.day_number B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O B-toloc.city_name I-toloc.city_name
21	please list all the arriving and departing flights from general mitchell international	atis_flight	O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name
22	what time zone is denver in	atis_city	O O O O B-city_name O
23	show me ground transportation in boston and in baltimore	atis_ground_service	O O O O O B-city_name O O B-city_name
24	i want to find the first flight from baltimore to boston that serves a meal	atis_flight	O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O O B-meal
25	from seattle to salt lake city	atis_flight	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name
26	can you show me the flights from dallas to baltimore with economy fares	atis_flight	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-economy O
27	what flights leave from phoenix	atis_flight	O O O O B-fromloc.city_name
28	what are the flights from pittsburgh to denver	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name
29	show flights leaving miami to cleveland on us air that leave after noon	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O B-depart_time.time_relative B-depart_time.time
30	please give me a list of all the flights between dallas and baltimore and their cost	atis_flight#atis_airfare	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O
31	what does fare code y mean	atis_abbreviation	O O O O B-fare_basis_code O
32	ground transportation in phoenix	atis_ground_service	O O O B-city_name
33	okay could you tell me what flight leaves dallas to san francisco by united airline	atis_flight	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
34	show me all flights from denver to san francisco next wednesday which leave after noon	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time
35	is there a flight from atlanta to san francisco that stops over in denver	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name
36	show departures and arrivals in atlanta for american airlines	atis_flight	O O O O O B-city_name O B-airline_name I-airline_name
37	find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day	atis_flight	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O
38	i want to fly from milwaukee to orlando on either wednesday evening or thursday morning	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name B-depart_time.period_of_day
39	i want a flight originating in denver going to pittsburgh and atlanta in either order	atis_flight	O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-toloc.city_name O O O
40	show me the flights from dallas to atlanta	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name
41	what flights are available from denver to san francisco	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
42	what is the cost of a flight from boston to denver	atis_airfare	O O O O O O O O B-fromloc.city_name O B-toloc.city_name
43	show me the earliest flight from san jose to pittsburgh that serves a snack	atis_flight	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-meal_description
44	could you please give me the round trip fare from denver to atlanta	atis_airfare	O O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name
45	do you have a flight leaving boston at 645 am going to washington	atis_flight	O O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time O O B-toloc.city_name
46	what are all the flights into atlanta's airport	atis_flight	O O O O O O B-toloc.city_name O
47	show me the flights from atlanta to denver on friday	atis_flight	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name
48	what does fare code qx mean	atis_abbreviation	O O O O B-fare_basis_code O
49	i would like information on twa flights from washington to philadelphia	atis_flight	O O O O O B-airline_code O O B-fromloc.city_name O B-toloc.city_name
50	which airlines fly from boston to washington dc but stopover in some other city	atis_airline	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O
51	ground transportation in oakland	atis_ground_service	O O O B-city_name
52	list all afternoon flights on united airlines from san francisco to denver	atis_flight	O O B-depart_time.period_of_day O O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
53	show me all flights from san francisco to pittsburgh on a monday	atis_flight	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name
54	what is the latest flight leaving boston to denver	atis_flight	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name
55	okay i would like to know the type of aircraft used on a flight from cleveland to dallas please	atis_aircraft	O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O
56	please show me the flights from las vegas to detroit on the twenty eighth	atis_flight	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number
57	what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma	atis_airline	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name
58	i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia	atis_flight	O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O B-stoploc.city_name
59	give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee	atis_flight	O O O B-flight_mod O B-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
60	american airlines from denver to milwaukee	atis_flight	B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
61	what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington	atis_flight	O O O O O B-depart_time.time O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.time_relative B-depart_time.time O B-fromloc.city_name O B-toloc.city_name
62	i need a return flight from philadelphia to boston	atis_flight	O O O O O O B-fromloc.city_name O B-toloc.city_name
63	northwest flights with stops in denver	atis_flight	B-airline_name O O O O B-stoploc.city_name
64	what is the first class fare from baltimore to dallas	atis_airfare	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name
65	could you please tell me the airlines that fly from toronto to san diego	atis_airline	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
66	what is the earliest flight from memphis to cincinnati on june thirtieth	atis_flight	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number
67	show me the nonstop flights from dallas to houston	atis_flight	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name
68	show me economy fares from dallas to baltimore	atis_airfare	O O B-economy O O B-fromloc.city_name O B-toloc.city_name
69	i would like a flight on continental airlines on august twentieth from washington to pittsburgh	atis_flight	O O O O O O B-airline_name I-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name
70	do you have a flight on wednesday from denver to washington dc nonstop	atis_flight	O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-flight_stop
71	what is ewr	atis_abbreviation	O O B-airport_code
72	i want to fly boston to san francisco	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
73	what flight leaves dallas for atlanta on august twenty seventh in the evening	atis_flight	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day
74	wednesday morning flights between baltimore and newark	atis_flight	B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name
75	show me flights from dallas to pittsburgh	atis_flight	O O O O B-fromloc.city_name O B-toloc.city_name
76	what flights are there arriving in chicago on continental after 11 pm	atis_flight	O O O O O O B-toloc.city_name O B-airline_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time
