id	utterance	slot_labels	intent	intent_ID	slots_ID
1	combien coûte le vol 71 d’ american airlines de dallas à san francisco	O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 2 82 149 150 82 38 82 155 156
2	pourriez-vous me dire le tarif le moins cher d’ atlanta à boston le trente-et-un du mois d' août	O O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number O O O B-depart_date.month_name	atis_airfare	0	82 82 82 82 82 87 88 88 82 38 82 155 82 95 82 82 82 103
3	quel est le prix du vol 106 de dl de philadelphie à boston	O O O O O O B-flight_number O B-airline_code O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 2 82 91 82 38 82 155
4	quel est le tarif aller-retour le moins cher entre boston et san francisco	O O O O B-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 46 87 88 88 82 38 82 155 156
5	quel est le tarif de boston à oakland sur united airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare	0	82 82 82 82 82 38 82 155 82 149 150
6	me montrer les tarifs aller-retour de denver à philadelphie .	O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 46 82 38 82 155 82
7	me montrer les tarifs aller-retour de san josé à salt lake city .	O O O O B-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O	atis_airfare	0	82 82 82 82 46 82 38 39 82 155 156 156 82
8	me montrer les tarifs d’ us air pour dimanche prochain de miami à cleveland .	O O O O O B-airline_name I-airline_name O B-depart_date.day_name B-depart_date.date_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 82 149 150 82 113 22 82 38 82 155 82
9	lister un tarif aller-retour pour des vols de kansas city à minneapolis .	O O O B-round_trip O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 46 82 82 82 82 38 39 82 155 82
10	quel est le tarif en classe économique entre boston et atlanta sur delta	O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O B-airline_name	atis_airfare	0	82 82 82 82 82 24 25 82 38 82 155 82 149
11	j’aimerais avoir vos tarifs entre atlanta et boston le trois septembre .	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare	0	82 82 82 82 82 38 82 155 82 95 103 82
12	s’il vous plaît me montrer le billet d’avion du vol 345 d’ us de boston à pittsburgh .	O O O O O O O O O O B-flight_number O B-airline_code O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 82 82 82 82 82 82 2 82 91 82 38 82 155 82
13	trouver le tarif aller simple le moins cher de boston à san francisco .	O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_airfare	0	82 82 82 46 47 87 88 88 82 38 82 155 156 82
14	s’il vous plaît me donner des tarifs aller-retour de pittsburgh à philadelphie .	O O O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 82 82 82 46 82 38 82 155 82
15	quel est le prix du vol 19 d’ american airlines de new york à los angeles	O O O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 2 82 149 150 82 38 39 82 155 156
16	me montrer les tarifs en classe économique de baltimore à dallas .	O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 82 24 25 82 38 82 155 82
17	pourriez-vous s’il vous plaît me donner un tarif aller simple de pittsburgh à atlanta	O O O O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 82 82 46 47 82 38 82 155
18	me donner des tarifs d’ atlanta à baltimore .	O O O O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 82 38 82 155 82
19	quel est le tarif au plus bas prix d’ atlanta à san francisco sur les vols 82 de delta et 139 de delta	O O O O B-cost_relative I-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-flight_number O B-airline_name O B-flight_number O B-airline_name	atis_airfare	0	82 82 82 82 87 88 88 88 82 38 82 155 156 82 82 82 2 82 149 82 2 82 149
20	quel est le tarif aérien entre denver et pittsburgh	O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 38 82 155
21	me montrer les billets aller simple les moins chers d’ atlanta à dallas .	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 46 47 87 88 88 82 38 82 155 82
22	quels sont les prix des vols de dallas à baltimore	O O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 82 38 82 155
23	voudriez-vous me dire le tarif aller simple le moins cher de boston à oakland	O O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 46 47 87 88 88 82 38 82 155
24	me montrer des tarifs de philadelphie à san francisco jeudi matin .	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O	atis_airfare	0	82 82 82 82 82 38 82 155 156 113 52 82
25	pourriez-vous me trouver le tarif le moins cher de boston à san francisco	O O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 82 87 88 88 82 38 82 155 156
26	quels sont les tarifs en première classe et en classe économique pour les vols de chicago à kansas city arrivant vers 7 heures du soir jeudi prochain	O O O O O B-class_type I-class_type O O B-class_type I-class_type O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.day_name B-arrive_date.date_relative	atis_airfare	0	82 82 82 82 82 24 25 82 82 24 25 82 82 82 82 38 82 155 156 82 12 143 144 144 144 64 101
27	me trouver le tarif aller simple le moins cher que je peux obtenir de boston à denver .	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O O O O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 46 47 87 88 88 82 82 82 82 82 38 82 155 82
28	combien coûte de voler de boston à oakland sur united airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare	0	82 82 82 82 82 38 82 155 82 149 150
29	combien coûte un vol de washington à montréal	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 38 82 155
30	quels sont les tarifs aller simple les plus bas d’ atlanta à pittsburgh	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 46 47 87 88 88 82 38 82 155
31	me montrer le billet d’avion de pittsburgh à san francisco .	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_airfare	0	82 82 82 82 82 82 38 82 155 156 82
32	quels sont les billets en première classe les plus chers entre boston et san francisco	O O O O O B-class_type I-class_type B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 82 24 25 87 88 88 82 38 82 155 156
33	quel serait le coût d’un aller-retour de pittsburgh à san francisco	O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 82 46 82 38 82 155 156
34	quel est le prix d’un billet en première classe de milwaukee à san francisco en aller-retour	O O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-round_trip	atis_airfare	0	82 82 82 82 82 82 82 24 25 82 38 82 155 156 82 46
35	quels sont les coûts des vols de dallas à boston demain	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative	atis_airfare	0	82 82 82 82 82 82 82 38 82 155 83
36	quel est le tarif aller-retour le moins cher entre boston et washington	O O O O B-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 46 87 88 88 82 38 82 155
37	tarifs aller-retour de denver à philadelphie inférieurs à 1 000 dollars .	O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare	0	82 46 82 38 82 155 87 82 48 49 49 82
38	quels sont les tarifs pour les vols de los angeles à newark partant lundi matin	O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day	atis_airfare	0	82 82 82 82 82 82 82 82 38 39 82 155 82 113 52
39	combien coûte un billet en première classe de baltimore à san francisco	O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 82 24 25 82 38 82 155 156
40	pourriez-vous me donner le tarif aller-retour de denver à atlanta	O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 46 82 38 82 155
41	quel est le coût d’un billet allant de denver à boston le vingt-cinq juillet 1991	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name B-depart_date.year	atis_airfare	0	82 82 82 82 82 82 82 82 38 82 155 82 95 103 123
42	quel est le prix de la classe affaires de boston à san francisco sur twa	O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_code	atis_airfare	0	82 82 82 82 82 82 24 25 82 38 82 155 156 82 91
43	me montrer le tarif le moins cher de dallas à baltimore .	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 87 88 88 82 38 82 155 82
44	tarif le moins cher d’ indianapolis à seattle .	O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 87 88 88 82 38 82 155 82
45	tous les tarifs et les vols de philadelphie .	O O O O O O O B-fromloc.city_name O	atis_airfare	0	82 82 82 82 82 82 82 38 82
46	quel est le tarif en première classe pour un aller-retour de dallas à denver	O O O O O B-class_type I-class_type O O B-round_trip O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 24 25 82 82 46 82 38 82 155
47	tarifs aller-retour de baltimore à philadelphie inférieurs à 1 000 dollars .	O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare	0	82 46 82 38 82 155 87 82 48 49 49 82
48	quel est le billet le moins cher de baltimore à san francisco le vendredi trente août	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.day_number B-depart_date.month_name	atis_airfare	0	82 82 82 82 87 88 88 82 38 82 155 156 82 113 95 103
49	j’aimerais un billet de denver à atlanta avec une escale à pittsburgh . est-ce possible	O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O O	atis_airfare	0	82 82 82 82 38 82 155 82 82 82 82 26 82 82 82
50	quel est le tarif d’un aller simple le sept novembre de denver à oakland	O O O O O B-round_trip I-round_trip O B-depart_date.day_number B-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 46 47 82 95 103 82 38 82 155
51	quel est le tarif aller simple le moins cher de boston à pittsburgh	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 46 47 87 88 88 82 38 82 155
52	quel est le tarif le moins cher de san francisco à baltimore	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 87 88 88 82 38 39 82 155
53	quel est le billet aller simple le moins cher de denver à pittsburgh	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 46 47 87 88 88 82 38 82 155
54	s’il vous plaît lister des tarifs pour tous les vols d’ atlanta à philadelphie le premier août .	O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare	0	82 82 82 82 82 82 82 82 82 82 82 38 82 155 82 95 103 82
55	quel est le coût du billet aller-retour en première classe entre oakland et atlanta	O O O O O O B-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 46 82 24 25 82 38 82 155
56	quel est le tarif du vol 928 d’ american airlines de dallas fort worth à boston	O O O O O O B-flight_number O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 82 82 2 82 149 150 82 38 39 39 82 155
57	combien coûte un tarif aller-retour en première classe entre boston et washington	O O O O B-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 46 82 24 25 82 38 82 155
58	billets d’avion aller-retour de pittsburgh à philadelphie inférieurs à 1 000 dollars .	O O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare	0	82 82 46 82 38 82 155 87 82 48 49 49 82
59	et combien cela coûte-t-il de voyager de l’aéroport de boston au centre-ville	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O	atis_airfare	0	82 82 82 82 82 82 82 99 100 100 82 82
60	me montrer les tarifs aller simple de san diego à miami sans escale .	O O O O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-flight_stop I-flight_stop O	atis_airfare	0	82 82 82 82 46 47 82 38 39 82 155 151 152 82
61	quel est le tarif aller simple le moins cher d’ atlanta à boston	O O O O B-round_trip I-round_trip B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	82 82 82 82 46 47 87 88 88 82 38 82 155
62	j’aimerais connaître le tarif en première classe sur un vol de baltimore à denver .	O O O O O B-class_type I-class_type O O O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	82 82 82 82 82 24 25 82 82 82 82 38 82 155 82
63	quel est le tarif le moins cher entre boston et san francisco	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	82 82 82 82 87 88 88 82 38 82 155 156
