ID	TEXT	INTENT	SLOTS
0	listen to westbam alumb allergic on google music	PlayMusic	O O B-artist O B-album O B-service I-service
1	add step to me to the 50 clásicos playlist	AddToPlaylist	O B-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O
2	i give this current textbook a rating value of 1 and a best rating of 6	RateBook	O O O B-object_select B-object_type O O O O B-rating_value O O O O O B-best_rating
3	play the song little robin redbreast	PlayMusic	O O B-music_item B-track I-track I-track
4	please add iris dement to my playlist this is selena	AddToPlaylist	O O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist
5	add slimm cutta calhoun to my this is prince playlist	AddToPlaylist	O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O
6	i want to listen to seventies music	PlayMusic	O O O O O B-year O
7	play a popular chant by brian epstein	PlayMusic	O O B-sort B-music_item O B-artist I-artist
8	find fish story	SearchScreeningEvent	O B-movie_name I-movie_name
9	book a spot for 3 in mt	BookRestaurant	O O O O B-party_size_number O B-state
10	i need a forecast for jetmore massachusetts in 1 hour and 1 second from now	GetWeather	O O O O O B-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
11	rate this series a 5	RateBook	O B-object_select B-object_part_of_series_type O B-rating_value
12	give me a list of movie times for films in the area	SearchScreeningEvent	O O O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation
13	can you play me some eighties music by adele	PlayMusic	O O O O O B-year O O B-artist
14	please let me know the weather forcast of stanislaus national forest far in nine months	GetWeather	O O O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi B-spatial_relation B-timeRange I-timeRange I-timeRange
15	book a restaurant for eight people in six years	BookRestaurant	O O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange
16	i need to book a restaurant in fork mountain sc for valarie mari and i	BookRestaurant	O O O O O B-restaurant_type O B-city I-city B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
17	add to playlist confidence boost here comes santa claus	AddToPlaylist	O O O B-playlist I-playlist B-entity_name I-entity_name I-entity_name I-entity_name
18	book a restaurant at sixteen o clock in sc	BookRestaurant	O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-state
19	add another artist to the spotlight on country 2016 playlist	AddToPlaylist	O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O
20	find a movie house showing cage without a key	SearchScreeningEvent	O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name
21	add sugarolly days to my list your favorite slaughterhouse	AddToPlaylist	O B-entity_name I-entity_name O B-playlist_owner O B-playlist I-playlist I-playlist
22	show me the picture creatures of light and darkness	SearchCreativeWork	O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name
23	search for the adventures of cookie & cream	SearchCreativeWork	O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name
24	add this track to my global funk	AddToPlaylist	O O B-music_item O B-playlist_owner B-playlist I-playlist
