ID	TEXT
2862	how much does flight dl 402 from denver to philadelphia cost
2944	what is the least expensive one way fare between philadelphia and boston
692	list round trip flights from orlando to kansas city
3822	what about flights from boston to san diego
582	what flights are available from boston to denver
1587	what flights are there from phoenix to milwaukee
3329	please tell me which airline has the most departures from atlanta
2177	what is the coach economy class night service from boston to san francisco
3315	price of flight from nashville to cleveland
1258	atlanta to pittsburgh
4170	what flights are available from pittsburgh to boston on saturday
4433	is there ground transportation available in denver
967	i would like a flight from nashville to st. louis that arrives in st. louis around 6 pm and is nonstop
2881	what is the earliest flight that i can take from boston to baltimore
2799	please list information regarding san francisco airport
2506	what northwest airline flights leave denver before noon
2052	what's the first class fare round trip from atlanta to denver
1440	i'd like to see all flights from baltimore to philadelphia
3280	what is the earliest flight from tampa to milwaukee tomorrow
4250	show me the latest flight from san francisco to denver
2706	san francisco to denver tuesday
3261	do any of the continental flights from boston to san francisco stop in denver
391	show me fares less than 400 dollars for flights from dallas to baltimore
675	i'd like a flight from kansas city to los angeles that arrives in los angeles in the late afternoon
1911	what is the distance from la guardia to new york's downtown
1825	what is your earliest flight from boston to washington on august twenty seventh
696	what is ewr
1177	show me the earliest flight on wednesday from baltimore to newark
1927	please find a flight on delta from philadelphia to san francisco and give me the flight numbers
2903	what flights from atlanta to toronto
1007	please show me the return flight number from toronto to st. petersburg
383	list least expensive flight from dallas to baltimore
247	can you list all flights from toronto to san diego
407	eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight
3802	what are the flights between pittsburgh and baltimore on august tenth
3690	i want to fly from cleveland to san diego tomorrow and stop in indianapolis
1322	could you tell me about flights from philadelphia to dallas that arrives in the early afternoon
2494	list all flights leaving san francisco monday afternoon arriving in pittsburgh
2956	what is the cheapest fare between atlanta and san francisco
251	can i get a rental car in dallas
2410	no i want to go from denver to oakland
2328	are there any flights from dallas fort worth to boston leaving before 10 am
1631	what are the cheapest one way flights from denver to atlanta
1020	what are the cities served by delta airlines
2190	i'd like a flight from burbank to tacoma washington
90	find the earliest flight from boston to oakland that serves breakfast
3380	show me all nonstop flights from salt lake city to cincinnati
361	do i get a meal on the atlanta to bwi flight eastern 210
101	please give me flights available from baltimore to philadelphia
3796	flying from pittsburgh to philadelphia on us air
2935	show flights from pittsburgh to oakland connecting through denver
4397	show me the ground transportation in denver
779	please list all united flights between pittsburgh and baltimore
3204	is fare code b the same as business class
2739	what time does the flight leave denver going to san francisco on continental airlines
2026	show me ground transportation for boston
1480	all flights to baltimore after 6 pm
