utterance	slot_labels	intent	intent_ID	slots_ID	language
desde sfo hasta denver	O B-fromloc.airport_code O B-toloc.city_name	atis_flight	2	82 66 82 155	es
give me sunday nonstop flights from memphis to las vegas	O O B-depart_date.day_name B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 113 151 82 82 38 82 155 156	en
zeige mir flüge von baltimore nach boston	O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 38 82 155	de
hi, ich muss am samstag nach 6 uhr abends von cincinnati nach san jose kalifornien fliegen	O O O O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O	atis_flight	2	82 82 82 82 113 127 137 138 138 82 38 82 155 156 36 82	de
me montrer les vols de love field .	O O O O O B-fromloc.airport_name I-fromloc.airport_name O	atis_flight	2	82 82 82 82 82 99 100 82	fr
necesito un vuelo con conexión de continental para el cinco de junio desde chicago hasta seattle	O O O B-connect I-connect O B-airline_name O O B-depart_date.day_number O B-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 68 69 82 149 82 82 95 82 103 82 38 82 155	es
bitte zeige die flüge von new york nach los angeles	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 82 82 82 38 39 82 155 156	de
i want to leave oakland and arrive in boston at 5 o'clock in the afternoon	O O O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day	atis_flight	2	82 82 82 82 38 82 82 82 155 82 143 144 82 82 80	en
muéstrame una lista de todos los vuelos que lleguen hasta el aeropuerto internacional general mitchell	O O O O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name	atis_flight	2	82 82 82 82 82 82 82 82 82 82 82 16 17 17 17	es
des vols disponibles de dallas à baltimore le trois août quelle compagnie aérienne a le vol le plus cher	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O O O O O O B-cost_relative I-cost_relative I-cost_relative	atis_flight	2	82 82 82 82 38 82 155 82 95 103 82 82 82 82 82 82 87 88 88	fr
ich möchte wissen, welche coach oder economy class flüge du von baltimore nach dallas verfügbar hast	O O O O B-class_type B-or B-economy I-economy O O O B-fromloc.city_name O B-toloc.city_name O O	atis_flight	2	82 82 82 82 24 147 10 11 82 82 82 38 82 155 82 82	de
muéstrame los vuelos desde san francisco hasta boston	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 38 39 82 155	es
what flights are there from indianapolis to orlando	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 82 82 38 82 155	en
zeige mir flüge am morgen von toronto	O O O O B-depart_time.period_of_day O B-fromloc.city_name	atis_flight	2	82 82 82 82 52 82 38	de
tous les vols et les tarifs d’ atlanta à dallas en aller-retour après 12:00 inférieurs à 1 100 dollars .	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-round_trip B-depart_time.time_relative B-depart_time.time B-cost_relative O B-fare_amount I-fare_amount I-fare_amount O	atis_airfare	0	82 82 82 82 82 82 82 38 82 155 82 46 127 137 87 82 48 49 49 82	fr
welcher ist der teuerste flug von boston nach dallas hin und zurück	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip I-round_trip	atis_flight	2	82 82 82 87 82 82 38 82 155 46 47 47	de
zeige mir alle flüge von boston nach denver , die am mittwoch in denver vor mittag ankommen	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_date.day_name O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time O	atis_flight	2	82 82 82 82 82 38 82 155 82 82 82 64 82 155 12 143 82	de
a breakfast flight from denver to san francisco please	O B-meal_description O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_flight	2	82 153 82 82 38 82 155 156 82	en
¿me darías una lista de los números de vuelos desde columbus , ohio hasta mineápolis , minnesota para el lunes ?	O O O O O O O O O O B-fromloc.city_name O B-fromloc.state_name O B-toloc.city_name O B-toloc.state_name O O B-depart_date.day_name O	atis_flight_no	1	82 82 82 82 82 82 82 82 82 82 38 82 28 82 155 82 36 82 82 113 82	es
hast du flüge mit united airlines von dallas nach san francisco	O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 82 82 149 150 82 38 82 155 156	de
mit welchem flugzeugtyp werde ich fliegen, wenn ich einen erste-klasse -flug mit american airlines von philadelphia nach dallas nehme	O O O O O O O O O B-class_type O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O	atis_aircraft	7	82 82 82 82 82 82 82 82 82 24 82 82 149 150 82 38 82 155 82	de
please show me flights from boston to denver with a stopover in philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name	atis_flight	2	82 82 82 82 82 38 82 155 82 82 82 82 26	en
montrer le premier vol de boston à philadelphie .	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	82 82 58 82 82 38 82 155 82	fr
informations sur des vols de san francisco à pittsburgh .	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O	atis_flight	2	82 82 82 82 82 38 39 82 155 82	fr
me montrer des vols d’ atlanta à philadelphie le matin .	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day O	atis_flight	2	82 82 82 82 82 38 82 155 82 52 82	fr
zeige mir die einzel flüge von atlanta nach pittsburgh	O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	82 82 82 46 82 82 38 82 155	de
ich möchte von boston nach san francisco mit einem zwischenstopp in pittsburgh	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name	atis_flight	2	82 82 82 38 82 155 156 82 82 82 82 26	de
qué vuelos hay desde cleveland hasta miami de us air que lleguen a miami antes de las 4 de la tarde	O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name O O O B-toloc.city_name B-arrive_time.time_relative I-arrive_time.time_relative I-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time I-arrive_time.time	atis_flight	2	82 82 82 82 38 82 155 82 149 150 82 82 82 155 12 13 13 143 144 144 144	es
j’aimerais voir des vols de baltimore à atlanta qui arrivent avant midi et j’aimerais voir des vols de denver à atlanta qui arrivent avant midi .	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time O	atis_flight	2	82 82 82 82 82 38 82 155 82 82 12 143 82 82 82 82 82 82 38 82 155 82 82 12 143 82	fr
american airlines de denver à milwaukee .	B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	149 150 82 38 82 155 82	fr
could you tell me if delta flight 296 serves breakfast	O O O O O B-airline_name O B-flight_number O B-meal_description	atis_flight	2	82 82 82 82 82 149 82 2 82 153	en
vuelos desde phoenix hasta las vegas	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	82 82 38 82 155 156	es
what airlines fly from boston to atlanta	O O O O B-fromloc.city_name O B-toloc.city_name	atis_airline	15	82 82 82 82 38 82 155	en
i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia	O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O B-stoploc.city_name	atis_flight	2	82 82 82 82 82 82 82 82 82 38 82 82 82 155 156 156 82 82 82 82 82 82 82 26	en
welche flüge mit northwest und united airlines haben vor mittag einen zwischenstopp in denver	O O O B-airline_name O B-airline_name I-airline_name O B-depart_time.time_relative B-depart_time.time O O O B-stoploc.city_name	atis_flight	2	82 82 82 149 82 149 150 82 127 137 82 82 82 26	de
hast du fluglinien, die auf dem weg von baltimore nach san francisco zwischenstopp in denver machen	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name O	atis_airline	15	82 82 82 82 82 82 82 82 38 82 155 156 82 82 26 82	de
