ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
3276	quels sont les vols de cleveland à indianapolis le mercredi douze mai sur twa delta ou continental	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.day_number B-depart_date.month_name O B-airline_code B-airline_name B-or B-airline_name	atis_flight	2	24 24 24 24 24 79 24 73 24 107 97 87 24 129 65 47 65
2646	me montrer tous les vols sans escale de salt lake city à cincinnati .	O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 24 24 24 59 60 24 79 80 80 24 73 24
1047	y a-t-il un vol united airlines de miami à washington dc arrivant vers midi	O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-arrive_time.time_relative B-arrive_time.time	atis_flight	2	24 24 24 24 65 66 24 79 24 73 115 24 51 103
3689	s’il vous plaît me donner des vols d’ atlanta à boston mercredi après-midi et jeudi matin .	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O B-depart_date.day_name B-depart_time.period_of_day O	atis_flight	2	24 24 24 24 24 24 24 24 79 24 73 107 91 24 107 91 24
3302	me montrer les vols de denver qui vont à pittsburgh puis à atlanta .	O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-toloc.city_name O	atis_flight	2	24 24 24 24 24 79 24 24 24 73 24 24 73 24
1571	quels sont les vols de pittsburgh à denver et retour	O O O O O B-fromloc.city_name O B-toloc.city_name O O	atis_flight	2	24 24 24 24 24 79 24 73 24 24
1916	j’aimerais réserver un vol tôt le matin de tampa en floride à charlotte en caroline du nord le six avril .	O O O O B-depart_time.period_of_day O B-depart_time.period_of_day O B-fromloc.city_name O B-fromloc.state_name O B-toloc.city_name O B-toloc.state_name I-toloc.state_name I-toloc.state_name O B-depart_date.day_number B-depart_date.month_name O	atis_flight	2	24 24 24 24 91 24 91 24 79 24 85 24 73 24 25 26 26 24 97 87 24
2505	je veux voler de denver à san francisco .	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O	atis_flight	2	24 24 24 24 79 24 73 74 24
2447	vols de pittsburgh à newark .	O O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 79 24 73 24
1330	j’aimerais voir les vols quotidiens de baltimore à philadelphie .	O O O O B-flight_days O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 24 24 2 24 79 24 73 24
717	me montrer le premier vol mercredi de baltimore à newark .	O O O B-flight_mod O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 24 141 24 107 24 79 24 73 24
1266	quels vols sur northwest et united airlines s’arrêtent à denver avant midi	O O O B-airline_name O B-airline_name I-airline_name O O B-stoploc.city_name B-depart_time.time_relative B-depart_time.time	atis_flight	2	24 24 24 65 24 65 66 24 24 133 101 14
3603	me montrer la liste des vols entre philadelphie et denver qui partent dans l’ après-midi .	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_time.period_of_day O	atis_flight	2	24 24 24 24 24 24 24 79 24 73 24 24 24 24 91 24
2466	me montrer les vols de miami à san diego avec un arrêt à denver .	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop I-flight_stop O B-stoploc.city_name O	atis_flight	2	24 24 24 24 24 79 24 73 74 24 59 60 24 133 24
2033	de baltimore à philadelphie mercredi .	O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name O	atis_flight	2	24 79 24 73 107 24
3124	j’aimerais voler de boston à philadelphie jeudi prochain .	O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_date.date_relative O	atis_flight	2	24 24 24 79 24 73 107 153 24
2664	me montrer des vols de pittsburgh à atlanta lundi après-midi .	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O	atis_flight	2	24 24 24 24 24 79 24 73 107 91 24
1912	afficher tous les vols de baltimore à dallas le vingt-neuf juillet .	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_flight	2	24 24 24 24 24 79 24 73 24 97 87 24
1428	j’aimerais un siège en classe économique sur un vol partant de denver et arrivant à atlanta .	O O O O B-class_type I-class_type O O O O O B-fromloc.city_name O O O B-toloc.city_name O	atis_flight	2	24 24 24 24 89 90 24 24 24 24 24 79 24 24 24 73 24
2176	me montrer tous les vols de philadelphie à baltimore .	O O O O O O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 24 24 24 24 79 24 73 24
4475	quel est l’ horaire des transports terrestres de l’ aéroport de washington vers le centre-ville	O O O B-flight_time O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O	atis_flight_time	11	24 24 24 151 24 24 24 24 24 145 146 146 24 24 24
1199	me montrer tous les vols de pittsburgh à boston qui partent avant midi .	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time O	atis_flight	2	24 24 24 24 24 24 79 24 73 24 24 101 14 24
786	de dallas à baltimore .	O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 79 24 73 24
