ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
2736	what flights leave from chicago to seattle on saturday	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name	atis_flight	2	24 24 24 24 79 24 73 24 107
2408	unk that are scheduled to reopen in i the need city include those of Egypt the a United Arab Emirates Italy and flight from san francisco to boston that leaves after 7 am 	O O O O O O O O O O O O O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time 	atis_flight	2	24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 79 80 24 73 24 24 101 14 15
1394	During the show me same time frame all canadian airlines flights as the from toronto Hitchcock rumors goaltender Curtis Sanford returned from his groin injury on November 	O O O O O O O O B-airline_name I-airline_name O O O O B-fromloc.city_name O O O O O O O O O O O O 	atis_flight	2	24 24 24 24 24 24 24 24 65 66 24 24 24 24 79 24 24 24 24 24 24 24 24 24 24 24 24
2097	boston to denver monday	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name	atis_flight	2	79 24 73 107
1611	okay i need to see economy flights on united between dallas and baltimore	O O O O O B-economy O O B-airline_name O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 41 24 24 65 24 79 24 73
4069	Locations outside ground transportation Japan included using in the oakland Royal Navy frigate HMS unk then in Gibraltar for the sea burial Hong 	O O O O O O O O O B-city_name O O O O O O O O O O O O O 	atis_ground_service	12	24 24 24 24 24 24 24 24 24 12 24 24 24 24 24 24 24 24 24 24 24 24 24
3499	Stay what at home dads are pm flights not prevalent in East are Asian available countries from which generally have philadelphia strict traditional to gender roles pittsburgh 	O O O O O O B-depart_time.period_of_day O O O O O O O O O O O O O B-fromloc.city_name O O O O O B-toloc.city_name 	atis_flight	2	24 24 24 24 24 24 91 24 24 24 24 24 24 24 24 24 24 24 24 24 79 24 24 24 24 24 73
4470	what is the schedule of flights from boston to denver next monday	O O O B-flight_time O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name	atis_flight_time	11	24 24 24 151 24 24 24 79 24 73 153 107
2585	show flights from pittsburgh into san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 24 79 24 73 74
1109	show me the economy flights from baltimore to dallas	O O O B-economy O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 41 24 24 79 24 73
