ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
2586	qué vuelos hay desde chicago hasta kansas city por la mañana	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day	atis_flight	2	24 24 24 24 79 24 73 74 24 24 91
1938	desde filadelfia hasta san francisco	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 79 24 73 74
4428	muéstrame las ciudades en las que opere canadian airlines international	O O O O O O O B-airline_name I-airline_name I-airline_name	atis_city	16	24 24 24 24 24 24 24 65 66 66
3388	por favor, dame una lista de todos los vuelos de northwest airlines que salgan desde denver antes del mediodía	O O O O O O O O O O B-airline_name I-airline_name O O O B-fromloc.city_name B-depart_time.time_relative O B-depart_time.time	atis_flight	2	24 24 24 24 24 24 24 24 24 24 65 66 24 24 24 79 101 24 14
4347	qué aerolíneas vuelan desde boston hasta washington d.c. vía otras ciudades	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O	atis_airline	15	24 24 24 24 79 24 73 115 24 24 24
1937	quiero obtener información de vuelos desde san francisco hasta boston para el jueves por la mañana	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O O B-depart_time.period_of_day	atis_flight	2	24 24 24 24 24 24 79 80 24 73 24 24 107 24 24 91
2575	¿hay algún vuelo directo desde atlanta hasta filadelfia que llegue a filadelfia alrededor de las 12 del mediodía ?	O O O B-connect O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative O O B-arrive_time.time I-arrive_time.time I-arrive_time.time O	atis_flight	2	24 24 24 61 24 79 24 73 24 24 24 73 51 24 24 103 104 104 24
3763	a cuántas ciudades vuela american airlines con vuelos de primera clase	O O O O B-airline_name I-airline_name O O O B-class_type I-class_type	atis_quantity	4	24 24 24 24 65 66 24 24 24 89 90
2454	¿tienes un vuelo de noche desde washington hasta boston el veintisiete de agosto ?	O O O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name O B-depart_date.day_number O	atis_flight	2	24 24 24 24 91 24 79 24 73 24 87 24 97 24
1399	quisiera vuelos de united airlines desde denver hasta baltimore	O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 65 66 24 79 24 73
2721	muéstrame una lista de los vuelos con tarifas más bajas desde dallas hasta baltimore en el que sirvan una comida	O O O O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O O O O O B-meal	atis_flight	2	24 24 24 24 24 24 24 55 56 56 24 79 24 73 24 24 24 24 24 123
3035	vuelos diarios desde el condado de westchester hasta san francisco	O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name I-toloc.city_name O B-flight_days I-flight_days	atis_flight	2	24 79 24 73 74 74 74 24 2 3
3006	quisiera información sobre el primer vuelo desde boston hasta san francisco en el que sirvan una comida	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-meal	atis_flight	2	24 24 24 24 141 24 24 79 24 73 74 24 24 24 24 24 123
3921	¿puedes darme información sobre el transporte desde el aeropuerto en filadelfia hasta el centro de la ciudad de filadelfia ?	O O O O O O O O O O B-fromloc.city_name O O O O O O O B-toloc.city_name O	atis_ground_service	12	24 24 24 24 24 24 24 24 24 24 79 24 24 24 24 24 24 24 73 24
3	cuánto cuesta el vuelo 106 de dl desde filadelfia hasta boston	O O O O B-flight_number O B-airline_code O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 125 24 129 24 79 24 73
1125	qué vuelos aterrizan en el aeropuerto internacional general mitchell	O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name	atis_flight	2	24 24 24 24 24 16 17 17 17
484	enumera todos los vuelos desde memphis hasta seattle	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
2477	qué vuelos hay desde baltimore hasta newark	O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 79 24 73
1703	muéstrame los vuelos entre atlanta y washington d.c. para los miércoles	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O B-depart_date.day_name	atis_flight	2	24 24 24 24 79 24 73 115 24 24 107
1128	quisiera programar un vuelo de american airlines desde filadelfia hasta san francisco con escala en denver	O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 65 66 24 79 24 73 74 24 24 24 133
2865	¿hay algún vuelo desde atlanta hasta baltimore ?	O O O O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 24 24 79 24 73 24
3280	muéstrame una lista de todos los vuelos desde atlanta hasta charlotte carolina del norte que salgan el próximo lunes	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name I-toloc.state_name I-toloc.state_name O O B-depart_date.date_relative I-depart_date.date_relative B-depart_date.day_name	atis_flight	2	24 24 24 24 24 24 24 24 79 24 73 25 26 26 24 24 153 154 107
4429	¿está bwi en washington ?	O B-airport_code O B-city_name O	atis_city	16	24 149 24 12 24
146	muéstrame la tarifa más cara de ida en primera clase desde baltimore hasta dallas	O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 55 56 6 7 24 89 90 24 79 24 73
1488	muéstrame todos los vuelos con conexión de united airlines entre boston y san francisco	O O O O B-connect I-connect O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 24 24 61 62 24 65 66 24 79 24 73 74
