ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
2616	show me the flights from washington dc to san francisco with a stopover in denver	O O O O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 79 147 24 73 74 24 24 24 24 133
3881	what the name of airport in philadelphia	O O O O O O B-city_name	atis_airport	10	24 24 24 24 24 24 12
2966	all northwest flights with stopovers in denver	O B-airline_name O O O O B-stoploc.city_name	atis_flight	2	24 65 24 24 24 24 133
3705	what are your flights from dallas to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
2741	what's the cheapest one way flight from oakland to washington dc	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code	atis_flight	2	24 24 55 6 7 24 24 79 24 73 115
3724	seating capacity airplanes united airlines	O O O B-airline_name I-airline_name	atis_capacity	3	24 24 24 65 66
3826	i need a plane that arrives in san francisco by 9 o'clock pm on friday and leaves from baltimore	O O O O O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O B-arrive_date.day_name O O O B-fromloc.city_name	atis_aircraft	7	24 24 24 24 24 24 24 73 74 51 103 104 104 24 121 24 24 24 79
1065	i would like to fly from dallas to san francisco on saturday and arrive in san francisco before 4 pm	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O O O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time	atis_flight	2	24 24 24 24 24 24 79 24 73 74 24 107 24 24 24 73 74 51 103 104
25	are the first class coach fares flights chicago to kansas city around 7 pm next thursday	O O B-class_type I-class_type B-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name	atis_airfare	0	24 24 89 90 89 24 24 79 24 73 74 51 103 104 33 121
3373	i would like to see the flights from baltimore to philadelphia again	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 24 24 24 24 24 24 79 24 73 24
2502	what is united airlines service between boston and san francisco	O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 65 66 24 24 79 24 73 74
2245	show me flights from dallas to pittsburgh	O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 79 24 73
3882	what is the name of the airport in philadelphia	O O O O O O O O B-city_name	atis_airport	10	24 24 24 24 24 24 24 24 12
627	flights from san jose to st. paul	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 79 80 24 73 74
662	show me the flights from dallas to baltimore	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
3778	the from san francisco	O O B-fromloc.city_name I-fromloc.city_name	atis_distance	5	24 24 79 80
107	what is the cost of a round trip ticket flying from boston to dallas dallas to oakland leaving july first	O O O O O O B-round_trip I-round_trip O O O B-fromloc.city_name O B-toloc.city_name B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number	atis_airfare	0	24 24 24 24 24 24 6 7 24 24 24 79 24 73 79 24 73 24 87 97
