ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
4104	qué transporte terrestre hay desde oakland hasta san francisco	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_ground_service	12	24 24 24 24 24 79 24 73 74
18208	cuántos vuelos en clase	O O O B-class_type	atis_quantity	4	24 24 24 89
15225	el vuelo memphis hasta las	O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 79 24 73
20580	que usa love field	O O B-airport_name I-airport_name	atis_airline	15	24 24 10 11
9524	muéstrame pittsburgh hasta san que lleguen de del	O B-fromloc.city_name O B-toloc.city_name O O I-arrive_time.time_relative I-arrive_time.time	atis_flight	2	24 79 24 73 24 24 52 104
1713	+ muéstrame los vuelos desde love field	O O O O O B-fromloc.airport_name I-fromloc.airport_name	atis_flight	2	24 24 24 24 24 145 146
520	cuál tarifa aérea más y baltimore	O O O B-cost_relative O B-toloc.city_name	atis_airfare	0	24 24 24 55 24 73
2773	vuelos desde city hasta el	O O I-fromloc.city_name O O	atis_flight	2	24 24 80 24 24
4101	qué transporte terrestre hay disponible en dallas	O O O O O O B-city_name	atis_ground_service	12	24 24 24 24 24 24 12
17162	vuelos hay por la mañana filadelfia american	O O O O B-depart_time.period_of_day B-fromloc.city_name B-airline_name	atis_flight	2	24 24 24 24 91 79 65
19316	dame información sobre transporte	O O O O	atis_ground_service	12	24 24 24 24
18693	qué tipo de primera clase vuela filadelfia francisco dallas mediodía lunes	O O O B-class_type I-class_type O B-fromloc.city_name I-toloc.city_name B-stoploc.city_name B-depart_time.period_of_day B-depart_date.day_name	atis_aircraft	7	24 24 24 89 90 24 79 74 133 91 107
19309	transporte hay disponible en	O O O O	atis_ground_service	12	24 24 24 24
12235	un vuelo pittsburgh hasta el	O O B-fromloc.city_name O O	atis_flight	2	24 24 79 24 24
15164	muéstrame todos vuelos baltimore hasta las en económica	O O O B-fromloc.city_name O O O I-economy	atis_flight	2	24 24 24 79 24 24 24 42
3656	los desde long beach memphis	O O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name	atis_flight	2	24 24 79 80 73
20425	qué vuelan hasta pittsburgh	O O O B-toloc.city_name	atis_airline	15	24 24 24 73
4946	muéstrame destino a love	O O O B-toloc.airport_name	atis_flight	2	24 24 24 16
5206	quiero encontrar vuelo boston	O O O B-fromloc.city_name	atis_flight	2	24 24 24 79
19964	qué tipos de hay disponibles de fort	O O O O O O B-city_name	atis_ground_service	12	24 24 24 24 24 24 12
8990	vuelo desde denver el domingo	O O B-toloc.city_name O B-depart_date.day_name	atis_flight	2	24 24 73 24 107
10120	muéstrame vayan desde san hasta newark escala houston	O O O B-fromloc.city_name O B-toloc.city_name I-flight_stop B-stoploc.city_name	atis_flight	2	24 24 24 79 24 73 60 133
13200	francisco hasta denver un jueves	I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name	atis_flight	2	80 24 73 24 107
18377	a cuántas lufthansa con primera	O O B-airline_name O B-class_type	atis_quantity	4	24 24 65 24 89
3016	quiero ir y san	O O O B-toloc.city_name	atis_flight	2	24 24 24 73
14938	volar desde con escala en indianápolis	O O O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 133
18652	de utilizará delta volar de las de el dos de desde hasta	O O B-airline_name O O O I-depart_time.time O B-depart_date.day_number O O O	atis_aircraft	7	24 24 65 24 24 24 15 24 97 24 24 24
4400	qué aerolíneas vuelan desde boston hasta san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airline	15	24 24 24 24 79 24 73 74
13413	vuelos hay desde hasta jueves	O O O O B-depart_date.day_name	atis_flight	2	24 24 24 24 107
15034	vuelos salt city salgan de toronto después las 6 la	O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name B-depart_time.time_relative I-depart_time.time_relative B-depart_time.time I-depart_time.time	atis_flight	2	24 73 74 24 24 79 101 102 14 15
16954	quiero volar desde denver pittsburgh	O O O B-fromloc.city_name B-stoploc.city_name	atis_flight	2	24 24 24 79 133
560	quisiera volar desde denver hasta atlanta con escala en pittsburgh	O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name	atis_flight	2	24 24 24 79 24 73 24 24 24 133
11935	muéstrame desde hasta el jueves	O O O O B-depart_date.day_name	atis_flight	2	24 24 24 24 107
12738	de air desde francisco en primera el lunes	O I-airline_name O I-toloc.city_name O B-class_type O B-depart_date.day_name	atis_flight	2	24 66 24 74 24 89 24 107
3398	qué vuelos tienes hoy desde san francisco a pittsburgh	O O O B-depart_date.today_relative O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 71 24 79 80 24 73
12876	vuelos de hasta desde	O O O O	atis_flight	2	24 24 24 24
11993	los vuelos boston filadelfia	O O B-fromloc.city_name B-toloc.city_name	atis_flight	2	24 24 79 73
2580	qué vuelos hay desde kansas city hasta burbank el sábado veintidós de mayo de southwest	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name I-depart_date.day_name I-depart_date.day_name O O B-depart_date.month_name O B-airline_name	atis_flight	2	24 24 24 24 79 80 24 73 24 107 108 108 24 24 87 24 65
15343	los vuelos atlanta baltimore	O O B-fromloc.city_name B-toloc.city_name	atis_flight	2	24 24 79 73
18669	delta con dc-10 ?	B-airline_name O B-aircraft_code O	atis_aircraft	7	65 24 143 24
6416	quisiera desde denver	O O B-toloc.city_name	atis_flight	2	24 24 73
873	cuál la tarifa más atlanta san	O O O B-cost_relative B-fromloc.city_name B-toloc.city_name	atis_airfare	0	24 24 24 55 79 73
19426	desde atl hasta	O B-airport_code O	atis_ground_service	12	24 149 24
6054	el vuelo más desde dallas el	O O B-cost_relative O B-fromloc.city_name O	atis_flight	2	24 24 55 24 79 24
