ID	TEXT	INTENT	INTENT_ID
25828	show my reminders	reminder_show_reminders	8
983	repeat the 3:00pm alarm for sunday august 12th	alarm_set_alarm	2
14815	is it cloudy in los angeles today	weather_find	11
10069	when is sunset on friday?	weather_checkSunset	10
3076	set reminder to take my blood pressure medication every day at 8:00 am	reminder_set_reminder	7
28034	set my alarm to go off in the am for the workout session at 4 am	alarm_set_alarm	2
9092	should i wear my rain boots	weather_find	11
28077	show all my alarms	alarm_show_alarms	3
22937	show my reminder	reminder_show_reminders	8
25960	remind me to start this project later tonight.	reminder_set_reminder	7
25358	how high is the chance of snow tonight?	weather_find	11
6780	is it going to snow today?	weather_find	11
3581	reset alarm for 25 minutes	alarm_set_alarm	2
20462	set alarm to go off at 3pm	alarm_set_alarm	2
10691	set alarm for 6am	alarm_set_alarm	2
11594	what time will the clouds clear out?	weather_find	11
10664	is it snowing in new york?	weather_find	11
14800	is there a chance of rain in santorini after 12am?	weather_find	11
21413	tell me the weather please	weather_find	11
7294	what is today's temperature?	weather_find	11
9323	cancel my reminder to pick up lunch	reminder_cancel_reminder	6
3944	temperature around palo alto today fahrenheit	weather_find	11
946	set a reminder for the vet appointment in the morning	reminder_set_reminder	7
9793	is there snow in the forecast	weather_find	11
14703	is the temperature going to do down in the 30's tonight?	weather_find	11
10146	is it going to be cloudy or sunny today	weather_find	11
12210	show me the reminders from last week	reminder_show_reminders	8
27569	will it be hot friday	weather_find	11
27884	any thunderstorms today?	weather_find	11
28534	stop alarm	alarm_cancel_alarm	0
22395	set alarm every monday at 4am	alarm_set_alarm	2
18934	set alarm for 8pm every friday	alarm_set_alarm	2
252	is there rain today	weather_find	11
22416	what percent change is it that the hurricane will hit san juan, pr?	weather_find	11
25990	cancel all my scheduled alarms	alarm_cancel_alarm	0
23013	change alarm to 10 am	alarm_modify_alarm	1
18737	how hot is it right now 	weather_find	11
16027	set alarm for 7:30 a.m.	alarm_set_alarm	2
25166	how much snow is expected?	weather_find	11
10049	remind me to return my dvd	reminder_set_reminder	7
10879	la weather report	weather_find	11
11668	will i need an umbrella in birmingham on tuesday?	weather_find	11
8425	set alarm for 2am	alarm_set_alarm	2
12550	will it be hot today	weather_find	11
22926	update me on the weather in dallas fort worth now.	weather_find	11
10842	any tornadoes nearby?	weather_find	11
10137	pull up the weather report.	weather_find	11
13588	will it rain all day?	weather_find	11
18943	can you show me the 10 day forecast.	weather_find	11
10774	what's it feel like outside?	weather_find	11
6407	is there any flood warning	weather_find	11
10622	remind me to mail lara's birthday card	reminder_set_reminder	7
13129	set an alarm for 11:58 at night	alarm_set_alarm	2
2019	push back my alarm 45 minutes	alarm_modify_alarm	1
7637	set a reminder to go to the grocery store friday afternoon after work	reminder_set_reminder	7
127	is wednesday to be rainy?	weather_find	11
102	is tuesday to be cloudy	weather_find	11
26576	set alarm for 6 am tomorrow	alarm_set_alarm	2
27885	cancel my reminder for picking the kids up at 4	reminder_cancel_reminder	6
17634	remind me to eat	reminder_set_reminder	7
14442	how much hail are we expected to get?	weather_find	11
3466	wake me up in 3 hours	alarm_set_alarm	2
20904	is it rainy on wednesday	weather_find	11
15630	current temperature	weather_find	11
24386	get rid of the reminder to pay the mortgage.	reminder_cancel_reminder	6
5490	what is the temperature right now	weather_find	11
