ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
3229	please list all northwest flights into denver	O O O B-airline_name O O B-toloc.city_name	atis_flight	2	24 24 24 65 24 24 73
1159	flights from pittsburgh to baltimore between 10 am and 2 pm	O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time	atis_flight	2	24 24 79 24 73 24 95 96 24 63 64
3283	i want a flight from los angeles to pittsburgh that arrives before 3 pm on tuesday	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name	atis_flight	2	24 24 24 24 24 79 80 24 73 24 24 51 103 104 24 121
4209	what does fare code qo mean	O O O O B-fare_basis_code O	atis_abbreviation	14	24 24 24 24 31 24
577	what is the earliest flight from washington to atlanta leaving on wednesday september fourth	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number	atis_flight	2	24 24 24 141 24 24 79 24 73 24 24 107 87 97
2829	oakland to philadelphia	B-fromloc.city_name O B-toloc.city_name	atis_flight	2	79 24 73
1160	show me all flight from san francisco to oakland	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 80 24 73
3571	i need a flight from kansas city to newark on the first of july	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number O B-depart_date.month_name	atis_flight	2	24 24 24 24 24 79 80 24 73 24 24 97 24 87
1999	what are the flights from pittsburgh to oakland	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
920	flights from charlotte to baltimore	O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 79 24 73
1841	show me the flights from baltimore to seattle	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
3944	what ground transportation is available in pittsburgh	O O O O O O B-city_name	atis_ground_service	12	24 24 24 24 24 24 12
956	find a nonstop flight between boston and washington arriving in washington around 5 pm	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time	atis_flight	2	24 24 59 24 24 79 24 73 24 24 73 51 103 104
4067	what ground transportation is available in baltimore	O O O O O O B-city_name	atis_ground_service	12	24 24 24 24 24 24 12
2961	what is the earliest flight i can get from baltimore to boston	O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 141 24 24 24 24 24 79 24 73
1465	i want a flight on saturday from minneapolis to long beach	O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 24 24 24 107 24 79 24 73 74
4138	explain the restriction ap 57	O O O B-restriction_code I-restriction_code	atis_abbreviation	14	24 24 24 109 110
2845	show me all flights from baltimore to philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
2796	i need a flight from denver to philadelphia	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
4093	what ground transportation is available in denver	O O O O O O B-city_name	atis_ground_service	12	24 24 24 24 24 24 12
2711	i need flight information on thursday leaving pittsburgh and arriving in baltimore in the morning	O O O O O B-depart_date.day_name O B-fromloc.city_name O O O B-toloc.city_name O O B-arrive_time.period_of_day	atis_flight	2	24 24 24 24 24 107 24 79 24 24 24 73 24 24 49
2057	what flights go from boston to atlanta	O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 79 24 73
983	i would like direct coach flights from pittsburgh to atlanta	O O O B-connect B-class_type O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 61 89 24 24 79 24 73
748	i'm looking for a flight from oakland to denver with a stopover in dallas fort worth	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name	atis_flight	2	24 24 24 24 24 24 79 24 73 24 24 24 24 133 134 134
1674	list all daily flights between boston and oakland and between oakland and boston using delta airlines	O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_flight	2	24 24 2 24 24 79 24 73 24 24 79 24 73 24 65 66
467	all flights from boston to washington dc after 5 pm on november eleventh economy class	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-depart_date.month_name B-depart_date.day_number B-economy I-economy	atis_flight	2	24 24 24 79 24 73 115 101 14 15 24 87 97 41 42
2189	i would like to fly from atlanta to boston arriving in boston at 5 pm	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.time I-arrive_time.time	atis_flight	2	24 24 24 24 24 24 79 24 73 24 24 73 24 103 104
3058	i want to fly from cleveland to san diego tomorrow and stop in indianapolis	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.today_relative O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 79 24 73 74 71 24 24 24 133
1690	flights from kansas city to cleveland	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 79 80 24 73
3743	how many first class flights does united have leaving from all airports today	O O B-class_type I-class_type O O B-airline_name O O O O O B-depart_date.today_relative	atis_quantity	4	24 24 89 90 24 24 65 24 24 24 24 24 71
2182	does continental airlines fly from pittsburgh to atlanta	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 65 66 24 24 79 24 73
2083	show me the flights from dallas to atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
1424	what is the latest flight leaving newark for los angeles wednesday	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name	atis_flight	2	24 24 24 141 24 24 79 24 73 74 107
1403	which flight from pittsburgh to baltimore carries the smallest number of passengers	O O O B-fromloc.city_name O B-toloc.city_name O O B-mod O O O	atis_flight	2	24 24 24 79 24 73 24 24 8 24 24 24
1687	what flights from st. paul to kansas city on friday with dinner served	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-meal_description O	atis_flight	2	24 24 24 79 80 24 73 74 24 107 24 57 24
2229	show me the flights from baltimore to oakland	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
2040	what are the flights from denver to pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
4171	what is fare code h	O O O O B-fare_basis_code	atis_abbreviation	14	24 24 24 24 31
1430	show me flights from atlanta to washington	O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 79 24 73
64	what is the lowest fare from denver to atlanta	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 55 24 24 79 24 73
696	tuesday morning flights between charlotte and baltimore	B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	107 91 24 24 79 24 73
1633	list the nonstop flights from miami to new york on a sunday along with the fares that are less than 466 dollars	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_date.day_name O O O O O O B-cost_relative O B-fare_amount I-fare_amount	atis_flight	2	24 24 59 24 24 79 24 73 74 24 24 121 24 24 24 24 24 24 55 24 155 156
2346	show me flights from anywhere to philadelphia arriving after 2100	O O O O O O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time	atis_flight	2	24 24 24 24 24 24 73 24 51 103
1575	all right what us air flights leave from indianapolis to san diego after 130 in the afternoon	O O O B-airline_name I-airline_name O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time O O B-depart_time.period_of_day	atis_flight	2	24 24 24 65 66 24 24 24 79 24 73 74 101 14 24 24 91
3026	yes what flights will be used on july seventh in the morning from atlanta to boston	O O O O O O O B-depart_date.month_name B-depart_date.day_number O O B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 24 24 87 97 24 24 91 24 79 24 73
392	what are the flight numbers of the flights which go from san francisco to washington via indianapolis	O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name	atis_flight_no	1	24 24 24 24 24 24 24 24 24 24 24 79 80 24 73 24 133
554	i'd like a flight from montreal to san diego for sunday	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name	atis_flight	2	24 24 24 24 24 79 24 73 74 24 107
3143	list all flights going from boston to atlanta after 6 o'clock pm on wednesday	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O B-depart_date.day_name	atis_flight	2	24 24 24 24 24 79 24 73 101 14 15 15 24 107
3126	do you have any flights from boston to dallas fort worth that stop over in philadelphia	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 24 79 24 73 74 74 24 24 24 24 133
3986	boston ground transportation	B-city_name O O	atis_ground_service	12	12 24 24
3805	i'd like to know what type of plane flies from boston to dallas fort worth after 530	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time	atis_aircraft	7	24 24 24 24 24 24 24 24 24 24 79 24 73 74 74 101 14
4134	what does fn under fare code mean	O O B-fare_basis_code O O O O	atis_abbreviation	14	24 24 31 24 24 24 24
2200	list all flights from denver to philadelphia	O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 79 24 73
4080	dallas ground transportation	B-city_name O O	atis_ground_service	12	12 24 24
