ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
6609	de à .	O O O	atis_flight	2	24 24 24
2184	directs et de fort worth à qui partent après 7 heures soir .	O O O I-fromloc.city_name I-fromloc.city_name O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O	atis_flight	2	24 24 24 80 80 24 24 24 101 14 15 15 24
10343	quels a-t-il d’ atlanta philadelphie	O O O B-fromloc.city_name B-toloc.city_name	atis_flight	2	24 24 24 79 73
16879	quels vols sont vendredi après-midi pittsburgh	O O O B-depart_date.day_name B-depart_time.period_of_day B-fromloc.city_name	atis_flight	2	24 24 24 107 91 79
102	je cherche à obtenir un billet d’avion de baltimore à san francisco sur un 747 partant le vingt-sept août .	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-aircraft_code O O B-depart_date.day_number B-depart_date.month_name O	atis_airfare	0	24 24 24 24 24 24 24 24 79 24 73 74 24 24 143 24 24 97 87 24
14877	lister de seattle qui partent après 4 30 .	O O B-fromloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O	atis_flight	2	24 24 79 24 24 101 14 15 24
15406	sur vols de dallas à atlanta matin .	O O O B-fromloc.city_name O B-toloc.city_name B-arrive_time.period_of_day O	atis_flight	2	24 24 24 79 24 73 49 24
11483	trouver avec déjeuner de boston à	O O B-meal_description O B-fromloc.city_name O	atis_flight	2	24 24 57 24 79 24
20521	que signifie restriction	O O O	atis_abbreviation	14	24 24 24
12987	quel est dernier vol vers boston	O O B-flight_mod O O B-toloc.city_name	atis_flight	2	24 24 141 24 24 73
1072	quel est le vol le moins cher de pittsburgh à atlanta en aller simple	O O O O B-cost_relative I-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name O B-round_trip I-round_trip	atis_flight	2	24 24 24 24 55 56 56 24 79 24 73 24 6 7
6404	est le vol soirée san pour washington	O O O B-depart_time.period_of_day B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 91 79 24 73
20581	de une voiture à tacoma	O O B-transport_type O B-city_name	atis_ground_fare	9	24 24 20 24 12
7361	montrer des vols vingt-six vous	O O O B-depart_date.day_number O	atis_flight	2	24 24 24 97 24
9805	quel vol moins cher de à american	O O I-cost_relative I-cost_relative O O B-airline_name	atis_flight	2	24 24 56 56 24 24 65
4829	me le départ de pour et le voyage de d’ je être à atlanta plus mais le .	O O O O O O O O O O O O O B-toloc.city_name O O O O	atis_flight	2	24 24 24 24 24 24 24 24 24 24 24 24 24 73 24 24 24 24
19117	me montrer d’aéronef	O O O	atis_aircraft	7	24 24 24
244	j’aimerais un denver atlanta une escale à est-ce	O O B-fromloc.city_name B-toloc.city_name O O O O	atis_airfare	0	24 24 79 73 24 24 24 24
7993	boston baltimore en classe économique mercredi vers midi	B-fromloc.city_name B-toloc.city_name O B-class_type I-class_type B-depart_date.day_name B-depart_time.time_relative I-depart_time.time	atis_flight	2	79 73 24 89 90 107 101 15
2364	j’aimerais voler vers san francisco de washington dc .	O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name B-fromloc.state_code O	atis_flight	2	24 24 24 73 74 24 79 147 24
6032	veux un vol de à à dallas	O O O O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 24 133
21021	vous montrer compagnies aériennes avec des boston un arrêt à	O O O O O O B-toloc.city_name O O O	atis_airline	15	24 24 24 24 24 24 73 24 24 24
4348	quelles compagnies aériennes volent de boston à washington	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airline	15	24 24 24 24 24 79 24 73
8077	je intéressé par un de et aussi intéressé à baltimore	O O O O O O O O O B-toloc.city_name	atis_flight	2	24 24 24 24 24 24 24 24 24 73
333	en classe économique de dallas à baltimore , arrivant le sept juillet , j’aimerais savoir quel est le billet le moins cher possible.	O B-economy I-economy O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_date.day_number B-arrive_date.month_name O O O O O O O B-cost_relative I-cost_relative I-cost_relative O	atis_airfare	0	24 41 42 24 79 24 73 24 24 24 105 135 24 24 24 24 24 24 24 55 56 56 24
9863	j’aimerais vol dallas vers le premier mars le dernier houston avec à dallas	O O B-fromloc.city_name O O B-depart_date.day_number B-depart_date.month_name O B-flight_mod B-fromloc.city_name O O B-toloc.city_name	atis_flight	2	24 24 79 24 24 97 87 24 141 79 24 24 73
19318	puis-je voir de de long beach	O O O O B-fromloc.city_name I-fromloc.city_name	atis_ground_service	12	24 24 24 24 79 80
4039	quels disponibles de à san	O O O O B-toloc.city_name	atis_flight	2	24 24 24 24 73
3409	me montrer tous les d’ airlines	O O O O O I-airline_name	atis_flight	2	24 24 24 24 24 66
1045	quels sont d’ oakland dallas le seize simple uniquement	O O O B-fromloc.city_name B-toloc.city_name O B-depart_date.day_number I-round_trip O	atis_airfare	0	24 24 24 79 73 24 97 7 24
13103	informations pour à san francisco de pittsburgh après .	O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name B-depart_time.time_relative O	atis_flight	2	24 24 24 73 74 24 79 101 24
16724	j’aimerais de boston oakland quelles de boston	O O B-fromloc.city_name B-toloc.city_name O O B-fromloc.city_name	atis_flight	2	24 24 79 73 24 24 79
14158	quels vols houston vendredi sur	O O B-fromloc.city_name B-depart_date.day_name O	atis_flight	2	24 24 79 107 24
2207	d’ atlanta à washington dc .	O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O	atis_flight	2	24 79 24 73 115 24
16864	a-t-elle des vols de nashville	O O O O B-toloc.city_name	atis_flight	2	24 24 24 24 73
1485	me montrer des vols le vingt-six septembre s’il vous plaît.	O O O O O B-depart_date.day_number B-depart_date.month_name O O O	atis_flight	2	24 24 24 24 24 97 87 24 24 24
9391	est vol eastern a entre washington	O O B-airline_name O O B-toloc.city_name	atis_flight	2	24 24 65 24 24 73
14438	y vols de des escales à pittsburg	O O O O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 24 133
5502	de san de la semaine prochaine montrer	O B-toloc.city_name O O O B-depart_date.date_relative O	atis_flight	2	24 73 24 24 24 153 24
20421	restriction ap 57	O B-restriction_code I-restriction_code	atis_abbreviation	14	24 109 110
2584	vols de atlanta la soirée août .	O O B-toloc.city_name O B-depart_time.period_of_day B-depart_date.month_name O	atis_flight	2	24 24 73 24 91 87 24
833	me montrer les vols aller simple d’ atlanta à pittsburgh .	O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 24 24 24 6 7 24 79 24 73 24
12164	me montrer vols de san sur 767	O O O O B-fromloc.city_name O B-aircraft_code	atis_flight	2	24 24 24 24 79 24 143
4310	me tous san francisco à denver	O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 79 80 24 73
6226	me donner escale de new york las vegas dimanche	O O I-flight_stop O B-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name B-arrive_date.day_name	atis_flight	2	24 24 60 24 79 80 73 74 121
5379	trouver les voyage un aller-retour dallas pittsburgh arrivant heures soir et avant 10	O O O O B-round_trip B-fromloc.city_name B-toloc.city_name O I-arrive_time.time I-arrive_time.time O B-arrive_time.time_relative B-arrive_time.time	atis_flight	2	24 24 24 24 6 79 73 24 104 104 24 51 103
598	vols samedi de las vegas à phoenix .	O B-depart_date.day_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O	atis_flight	2	24 107 24 79 80 24 73 24
187	sont les vols de los newark lundi matin	O O O O B-fromloc.city_name B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day	atis_airfare	0	24 24 24 24 79 73 107 91
