ID	TEXT	INTENT	SLOTS	INTENT_ID	SLOTS_ID
353	rate this series chronicle 0 points	RateBook	O B-object_select B-object_part_of_series_type I-object_part_of_series_type B-rating_value B-rating_unit	4	0 38 36 37 52 51
9253	i want to hear the album suites & sweets	PlayMusic	O O O O O B-music_item B-album I-album I-album	3	0 0 0 0 0 30 1 2 2
6592	book me a table for five at the top-rated morocco restaurant	BookRestaurant	O O O O O B-party_size_number O O B-sort B-country B-restaurant_type	1	0 0 0 0 0 44 0 0 61 10 55
10625	what s the weather in springside nature reserve at four pm	GetWeather	O O O O O B-geographic_poi I-geographic_poi I-geographic_poi O B-timeRange I-timeRange	2	0 0 0 0 0 22 23 23 0 67 68
3617	book a table in hallwood for one for supper	BookRestaurant	O O O O B-city O B-party_size_number O B-timeRange	1	0 0 0 0 6 0 44 0 67
9075	can i have the movie schedules	SearchScreeningEvent	O O O O B-object_type I-object_type	6	0 0 0 0 40 41
6088	rate merlin effect a 0	RateBook	O B-object_name I-object_name O B-rating_value	4	0 34 35 0 52
2267	add this artist to disco fever playlist	AddToPlaylist	O O B-music_item O B-playlist I-playlist O	0	0 0 30 0 45 46 0
8063	what times will animated movies be showing nearby	SearchScreeningEvent	O B-object_type O B-movie_type I-movie_type O O B-spatial_relation	6	0 40 0 28 29 0 0 63
5577	whats the closest movie house showing home room	SearchScreeningEvent	O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name	6	0 0 63 32 33 0 26 27
4467	i need a table for 4 in florida	BookRestaurant	O O O O O B-party_size_number O B-state	1	0 0 0 0 0 44 0 65
4393	what is the forecast for lille in norway	GetWeather	O O O O O B-city O B-country	2	0 0 0 0 0 6 0 10
6909	rate this book five of 6 points	RateBook	O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit	4	0 38 40 52 0 5 51
12049	rate the current chronicle 0 of 6 stars	RateBook	O O B-object_select B-object_part_of_series_type B-rating_value O B-best_rating B-rating_unit	4	0 0 38 36 52 0 5 51
9008	i want to book the best pub for 6 in new mexico	BookRestaurant	O O O O O B-sort B-restaurant_type O B-party_size_number O B-state I-state	1	0 0 0 0 0 61 55 0 44 0 65 66
937	play some chanson music	PlayMusic	O O B-genre O	3	0 0 20 0
11827	please book a table for 6 people in the same area as bedford park blvd-lehman college	BookRestaurant	O O O O O B-party_size_number O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi	1	0 0 0 0 0 44 0 63 64 64 64 0 49 50 50 50
5719	i want to book the best manadonese restaurant for six at 21:49 that is distant from my baby s work	BookRestaurant	O O O O O B-sort B-cuisine B-restaurant_type O B-party_size_number O B-timeRange O O B-spatial_relation O B-poi I-poi I-poi I-poi	1	0 0 0 0 0 61 12 55 0 44 0 67 0 0 63 0 49 50 50 50
5996	i would like to book a table at a delicatessen in punjabi for me angela and vilma	BookRestaurant	O O O O O O O O O B-restaurant_type O B-cuisine O B-party_size_description I-party_size_description I-party_size_description I-party_size_description	1	0 0 0 0 0 0 0 0 0 55 0 12 0 42 43 43 43
4359	what s the forecast for north amityville	GetWeather	O O O O O B-city I-city	2	0 0 0 0 0 6 7
9889	book a restaurant for tortelloni for eight	BookRestaurant	O O B-restaurant_type O B-served_dish O B-party_size_number	1	0 0 55 0 57 0 44
1114	forecast for guatemala	GetWeather	O O B-country	2	0 0 10
6888	i want to book the black cat bar in ar	BookRestaurant	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state	1	0 0 0 0 0 53 54 54 0 65
8818	play music by rodney whitaker	PlayMusic	O O O B-artist I-artist	3	0 0 0 3 4
5829	play seasons in the sun by rosco gordon on iheart	PlayMusic	O B-track I-track I-track I-track O B-artist I-artist O B-service	3	0 69 70 70 70 0 3 4 0 59
6913	rate the man from the ussr and other plays a 0	RateBook	O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value	4	0 34 35 35 35 35 35 35 35 0 52
3827	rate the young elites series 1 of 6 points	RateBook	O B-object_name I-object_name I-object_name B-object_part_of_series_type B-rating_value O B-best_rating B-rating_unit	4	0 34 35 35 36 52 0 5 51
8272	play a concerto that was most popular in 1958 by mickey hart	PlayMusic	O O B-music_item O O B-sort I-sort O B-year O B-artist I-artist	3	0 0 30 0 0 61 62 0 71 0 3 4
9533	rate dead boys a 0	RateBook	O B-object_name I-object_name O B-rating_value	4	0 34 35 0 52
8793	book a table at the montreal pool room in north carolina for 7 am	BookRestaurant	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state I-state O B-timeRange I-timeRange	1	0 0 0 0 0 53 54 54 0 65 66 0 67 68
4993	find set the thames on fire for seventeen	SearchScreeningEvent	O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O B-timeRange	6	0 26 27 27 27 27 0 67
4464	play music from 2012 on netflix	PlayMusic	O O O B-year O B-service	3	0 0 0 71 0 59
2034	what is the movie schedule	SearchScreeningEvent	O O O B-object_type I-object_type	6	0 0 0 40 41
9314	i want a table for four for 2 years from now	BookRestaurant	O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange	1	0 0 0 0 0 44 0 67 68 68 68
3852	rate the current chronicle series 4 out of 6 points	RateBook	O O B-object_select B-object_part_of_series_type I-object_part_of_series_type B-rating_value O O B-best_rating B-rating_unit	4	0 0 38 36 37 52 0 0 5 51
99	book me seats for 6 at the best brasserie that serves marche neighboring my hostel	BookRestaurant	O O O O B-party_size_number O O B-sort B-restaurant_type O O B-cuisine B-spatial_relation B-poi I-poi	1	0 0 0 0 44 0 0 61 55 0 0 12 63 49 50
7194	add this track to anne s playlist named just smile	AddToPlaylist	O O B-music_item O B-playlist_owner I-playlist_owner O O B-playlist I-playlist	0	0 0 30 0 47 48 0 0 45 46
3522	open youtube	PlayMusic	O B-service	3	0 59
11603	add this tune by jim white to my playlist rumba y más	AddToPlaylist	O O B-music_item O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist	0	0 0 30 0 3 4 0 47 0 45 46 46
1010	weather for july 1 in ut	GetWeather	O O B-timeRange I-timeRange O B-state	2	0 0 67 68 0 65
11061	i m looking for a picture of fresh air	SearchCreativeWork	O O O O O B-object_type O B-object_name I-object_name	5	0 0 0 0 0 40 0 34 35
6422	put this kan mikami tune on fresh finds cyclone	AddToPlaylist	O O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist	0	0 0 3 4 30 0 45 46 46
9255	what films are showing at cooper foundation	SearchScreeningEvent	O B-movie_type O O O B-location_name I-location_name	6	0 28 0 0 0 24 25
5337	play latina	PlayMusic	O B-playlist	3	0 45
1683	give me the forecast for the weather in citrus springs	GetWeather	O O O O O O O O B-city I-city	2	0 0 0 0 0 0 0 0 6 7
11381	give the current essay 5 / 6 stars	RateBook	O O B-object_select B-object_type B-rating_value O B-best_rating B-rating_unit	4	0 0 38 40 52 0 5 51
8205	is jack the ripper playing in one hour at the nearest movie house	SearchScreeningEvent	O B-movie_name I-movie_name I-movie_name O B-timeRange I-timeRange I-timeRange O O B-spatial_relation B-object_location_type I-object_location_type	6	0 26 27 27 0 67 68 68 0 0 63 32 33
8727	give the current album on my playlist a rating of three	RateBook	O O B-object_select B-object_type O O O O O O B-rating_value	4	0 0 38 40 0 0 0 0 0 0 52
6880	please play something that s freak folk on google music	PlayMusic	O O O O O B-genre I-genre O B-service I-service	3	0 0 0 0 0 20 21 0 59 60
720	give me the forecast for here on february the sixteenth 2022	GetWeather	O O O O O B-current_location O B-timeRange I-timeRange I-timeRange I-timeRange	2	0 0 0 0 0 14 0 67 68 68 68
538	book me top-rated restaurant for 9 members for midnight at fair bluff ri	BookRestaurant	O O B-sort B-restaurant_type O B-party_size_number O O B-timeRange O B-city I-city B-state	1	0 0 61 55 0 44 0 0 67 0 6 7 65
6073	play christian gangsta rap	PlayMusic	O B-genre I-genre I-genre	3	0 20 21 21
9148	rate the current essay 4 stars	RateBook	O O B-object_select B-object_type B-rating_value B-rating_unit	4	0 0 38 40 52 51
5537	look for the chu chu and the philly flash picture	SearchCreativeWork	O O O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-object_type	5	0 0 0 34 35 35 35 35 35 40
5770	i m looking for paris match	SearchCreativeWork	O O O O B-object_name I-object_name	5	0 0 0 0 34 35
6203	add an album in my playlist in the name of blues	AddToPlaylist	O O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist I-playlist	0	0 0 30 0 47 0 45 46 46 46 46
12627	the citrus industry is a four rating value and a best rating of 6	RateBook	B-object_name I-object_name I-object_name O O B-rating_value O O O O O O O B-best_rating	4	34 35 35 0 0 52 0 0 0 0 0 0 0 5
11845	book a spot in the same area as yankee doodle coffee shop in madagascar	BookRestaurant	O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country	1	0 0 0 63 64 64 64 0 53 54 54 54 0 10
4454	for mirrorshades i rate it three stars	RateBook	O B-object_name O O O B-rating_value B-rating_unit	4	0 34 0 0 0 52 51
8384	add this artist to my sinfonía hipster	AddToPlaylist	O O B-music_item O B-playlist_owner B-playlist I-playlist	0	0 0 30 0 47 45 46
10584	what movies are playing in the neighborhood	SearchScreeningEvent	O B-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation	6	0 28 0 0 63 64 64
3184	i give the blood book five stars	RateBook	O O B-object_name I-object_name I-object_name B-rating_value B-rating_unit	4	0 0 34 35 35 52 51
6836	i want to put sons of the sea on the pulse of americana playlist	AddToPlaylist	O O O O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist O	0	0 0 0 0 16 17 17 17 0 45 46 46 46 0
11274	rate the courtship of princess leia saga a two	RateBook	O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type O B-rating_value	4	0 34 35 35 35 35 36 0 52
2238	i need a table at eddie’s attic in nevada for one	BookRestaurant	O O O O O B-restaurant_name I-restaurant_name O B-state O B-party_size_number	1	0 0 0 0 0 53 54 0 65 0 44
3658	find the little death a soundtrack	SearchCreativeWork	O B-object_name I-object_name I-object_name O B-object_type	5	0 34 35 35 0 40
2039	put robbie robertson into my chill out playlist	AddToPlaylist	O B-artist I-artist O B-playlist_owner B-playlist I-playlist O	0	0 3 4 0 47 45 46 0
12881	what will the weather be this year in horseshoe lake state fish and wildlife area	GetWeather	O O O O O B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi	2	0 0 0 0 0 67 68 0 22 23 23 23 23 23 23
10244	please play music from itunes	PlayMusic	O O O O B-service	3	0 0 0 0 59
379	tell me the weather forecast for here	GetWeather	O O O O O O B-current_location	2	0 0 0 0 0 0 14
7934	find a show called the crowd roars	SearchCreativeWork	O O B-object_type O B-object_name I-object_name I-object_name	5	0 0 40 0 34 35 35
4115	i d like to watch the details at the cinema	SearchScreeningEvent	O O O O O B-movie_name I-movie_name O O B-object_location_type	6	0 0 0 0 0 26 27 0 0 32
6209	rate leap into darkness 1 points	RateBook	O B-object_name I-object_name I-object_name B-rating_value B-rating_unit	4	0 34 35 35 52 51
5212	play rhythmic	PlayMusic	O B-playlist	3	0 45
6270	give 2 out of 6 points to current book	RateBook	O B-rating_value O O B-best_rating B-rating_unit O B-object_select B-object_type	4	0 52 0 0 5 51 0 38 40
