ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
1	was kostet der american airlines -flug 71 von dallas nach san francisco	O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	24 24 24 65 66 24 125 24 79 24 73 74
2	kannst du mir den günstigsten tarif von atlanta nach boston am einunddreißigsten august sagen	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare	0	24 24 24 24 55 24 24 79 24 73 24 97 87 24
3	was kostet der flug dl 106 von philadelphia nach boston	O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 129 125 24 79 24 73
4	was ist der günstigste tarif für einen hin- und rück flug zwischen boston und san francisco	O O O B-cost_relative O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	24 24 24 55 24 24 24 6 7 7 24 24 79 24 73 74
5	was ist der tarif von boston nach oakland mit united airlines	O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name	atis_airfare	0	24 24 24 24 24 79 24 73 24 65 66
6	zeige mir tarife für hin- und rück flüge von denver nach philadelphia	O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 6 7 7 24 24 79 24 73
7	zeige mir tarife für hin- und rück flüge von san jose nach salt lake city	O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name	atis_airfare	0	24 24 24 24 6 7 7 24 24 79 80 24 73 74 74
8	zeige mir tarife von us air für nächsten sonntag von miami nach cleveland	O O O O B-airline_name I-airline_name O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 65 66 24 153 107 24 79 24 73
9	zeige mir einen tarif für hin- und rück flüge von kansas city nach minneapolis	O O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 24 6 7 7 24 24 79 80 24 73
10	was ist der coach -tarif zwischen boston und atlanta mit delta	O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-airline_name	atis_airfare	0	24 24 24 89 24 24 79 24 73 24 65
11	ich möchte gerne die tarife zwischen atlanta und boston am dritten september wissen	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number B-depart_date.month_name O	atis_airfare	0	24 24 24 24 24 24 79 24 73 24 97 87 24
12	zeige mir bitte den flugpreis für flug us 345 von boston nach pittsburgh	O O O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 24 24 24 129 125 24 79 24 73
13	suche den günstigsten tarif für einen einzel flug von boston nach san francisco	O O B-cost_relative O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	24 24 55 24 24 24 6 24 24 79 24 73 74
14	nenne mir bitte preise für hin- und rück flüge von pittsburgh nach philadelphia	O O O O O B-round_trip I-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 24 6 7 7 24 24 79 24 73
15	was ist der preis für den american airlines -flug 19 von new york nach los angeles	O O O O O O B-airline_name I-airline_name O B-flight_number O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airfare	0	24 24 24 24 24 24 65 66 24 125 24 79 80 24 73 74
16	zeige mir die coach -tarife von baltimore nach dallas	O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 89 24 24 79 24 73
17	kannst du mir bitte einen einzel flug-tarif von pittsburgh nach atlanta anzeigen	O O O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	24 24 24 24 24 6 24 24 79 24 73 24
18	nenne mir tarife von atlanta nach baltimore	O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 79 24 73
19	was ist der tarif mit dem günstigsten preis von atlanta nach san francisco auf flug delta 82 und delta 139	O O O O O O B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-airline_name B-flight_number O B-airline_name B-flight_number	atis_airfare	0	24 24 24 24 24 24 55 56 24 79 24 73 74 24 24 65 125 24 65 125
20	was ist der flugpreis zwischen denver und pittsburgh	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 24 79 24 73
21	zeige mir die günstigsten einzel flug-tickets von atlanta nach dallas	O O O B-cost_relative B-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 55 6 24 24 79 24 73
22	was sind die preise für flüge von dallas nach baltimore	O O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_airfare	0	24 24 24 24 24 24 24 79 24 73
23	könntest du mir den günstigsten preis für einen einzel flug von boston nach oakland nennen	O O O O B-cost_relative O O O B-round_trip O O B-fromloc.city_name O B-toloc.city_name O	atis_airfare	0	24 24 24 24 55 24 24 24 6 24 24 79 24 73 24
24	zeige mir tarife von philadelphia nach san francisco am donnerstag morgen	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day	atis_airfare	0	24 24 24 24 79 24 73 74 24 107 91
