ID	TEXT	INTENT
0	tell me the weather report for half moon bay	weather/find
1	tell me the weather report for half moon bay	weather/find
2	tell me the weather report for half moon bay	weather/find
3	tell me the weather report for half moon bay	weather/find
4	tell me the weather report for half moon bay	weather/find
5	give me the latest forecast for half moon bay	weather/find
6	give me the latest forecast for half moon bay	weather/find
7	give me the latest forecast for half moon bay	weather/find
8	give me the latest forecast for half moon bay	weather/find
9	give me the latest forecast for half moon bay	weather/find
10	give me friday's forecast for half moon bay	weather/find
11	give me friday's forecast for half moon bay	weather/find
12	give me friday's forecast for half moon bay	weather/find
13	give me friday's forecast for half moon bay	weather/find
14	give me friday's forecast for half moon bay	weather/find
15	i need to know the latest forecast for half moon bay	weather/find
16	i need to know the latest forecast for half moon bay	weather/find
17	i need to know the latest forecast for half moon bay	weather/find
18	Do you have thursday's weather report for half moon bay	weather/find
19	Do you have thursday's weather report for half moon bay	weather/find
20	Do you have thursday's weather report for half moon bay	weather/find
21	Do you have Wednesday's weather forecast for half moon bay	weather/find
22	Do you have Wednesday's weather forecast for half moon bay	weather/find
23	Do you have Wednesday's weather forecast for half moon bay	weather/find
24	Do you have Wednesday's weather forecast for half moon bay	weather/find
25	Do you have Wednesday's weather forecast for half moon bay	weather/find
26	Give me most recent forecast for half moon bay	weather/find
27	Give me most recent forecast for half moon bay	weather/find
28	Give me most recent forecast for half moon bay	weather/find
29	Give me most recent forecast for half moon bay	weather/find
30	Give me most recent forecast for half moon bay	weather/find
31	give me Thursday's half moon bay weather report	weather/find
32	give me Thursday's half moon bay weather report	weather/find
33	give me Thursday's half moon bay weather report	weather/find
34	give me Thursday's half moon bay weather report	weather/find
35	give me Thursday's half moon bay weather report	weather/find
36	Give me the most recent half moon bay weather report	weather/find
37	Give me the most recent half moon bay weather report	weather/find
38	Give me the most recent half moon bay weather report	weather/find
39	Give me the most recent half moon bay weather report	weather/find
40	Give me the most recent half moon bay weather report	weather/find
41	i need half moon bay's weather report for sunday	weather/find
42	i need half moon bay's weather report for sunday	weather/find
43	i need half moon bay's weather report for sunday	weather/find
44	i need half moon bay's weather report for sunday	weather/find
45	i need half moon bay's weather report for sunday	weather/find
46	i need half moon bay's weather report for Monday	weather/find
47	i need half moon bay's weather report for Monday	weather/find
48	i need half moon bay's weather report for Monday	weather/find
49	i need half moon bay's weather report for Monday	weather/find
50	i need half moon bay's weather report for Monday	weather/find
51	give me your most recent weather report for half moon bay	weather/find
52	give me your most recent weather report for half moon bay	weather/find
53	give me your most recent weather report for half moon bay	weather/find
54	give me your most recent weather report for half moon bay	weather/find
55	give me your most recent weather report for half moon bay	weather/find
56	most recent weather report for half moon bay	weather/find
57	most recent weather report for half moon bay	weather/find
58	most recent weather report for half moon bay	weather/find
59	most recent weather report for half moon bay	weather/find
60	most recent weather report for half moon bay	weather/find
61	Tuesday weather forecast for half moon bay	weather/find
62	Tuesday weather forecast for half moon bay	weather/find
63	Tuesday weather forecast for half moon bay	weather/find
64	Tuesday weather forecast for half moon bay	weather/find
65	Tuesday weather forecast for half moon bay	weather/find
66	Friday weather report for half moon bay	weather/find
67	Friday weather report for half moon bay	weather/find
68	Friday weather report for half moon bay	weather/find
69	Friday weather report for half moon bay	weather/find
70	Friday weather report for half moon bay	weather/find
71	is monday to be sunny	weather/find
72	is monday to be sunny	weather/find
73	is monday to be sunny	weather/find
74	is monday to be sunny	weather/find
75	is monday to be sunny	weather/find
76	is tuesday to be sunny	weather/find
77	is tuesday to be sunny	weather/find
78	is tuesday to be sunny	weather/find
79	is tuesday to be sunny	weather/find
80	is tuesday to be sunny	weather/find
81	is wednesday to be sunny	weather/find
82	is wednesday to be sunny	weather/find
83	is wednesday to be sunny	weather/find
84	is thursday to be sunny	weather/find
85	is thursday to be sunny	weather/find
86	is thursday to be sunny	weather/find
87	is friday to be sunny	weather/find
88	is friday to be sunny	weather/find
89	is friday to be sunny	weather/find
90	is saturday to be sunny	weather/find
91	is saturday to be sunny	weather/find
92	is saturday to be sunny	weather/find
93	is sunday to be sunny	weather/find
94	is sunday to be sunny	weather/find
95	is sunday to be sunny	weather/find
96	is sunday to be sunny	weather/find
97	is sunday to be sunny	weather/find
98	is monday to be cloudy	weather/find
99	is monday to be cloudy	weather/find
100	is monday to be cloudy	weather/find
101	is tuesday to be cloudy	weather/find
102	is tuesday to be cloudy	weather/find
103	is tuesday to be cloudy	weather/find
104	is wednesday to be cloudy	weather/find
105	is wednesday to be cloudy	weather/find
