ID	TEXT	INTENT	INTENT_ID
127	play music from 2014	PlayMusic	3
6170	what is the forecast for this current position for chilly temps	GetWeather	2
1941	find a world apart 	SearchCreativeWork	5
284	show creativity of home brew	SearchCreativeWork	5
12853	play me the newest fourties symphony	PlayMusic	3
6670	i d looking for the saga playcanvas 	SearchCreativeWork	5
3688	play some music on lastfm	PlayMusic	3
4095	play me a song from 2008	PlayMusic	3
5161	add another tune to my songs for you  not your parents playlist  	AddToPlaylist	0
5826	is it snowy in ocean shores	GetWeather	2
10799	find the schedule for a kiss before dying 	SearchScreeningEvent	6
13056	i want to give the first person and other stories 0 out of 6 stars	RateBook	4
8426	i want toi hear some pop punk perfection ������ off of deezer	PlayMusic	3
9826	give me the movie schedules at showcase cinemas 	SearchScreeningEvent	6
11186	find the american journal of economics and sociology 	SearchCreativeWork	5
3871	find join the dots: b-sides and rarities	SearchCreativeWork	5
8643	add singing in the trees to rena s lo mejor de radio 3 playlist 	AddToPlaylist	0
4278	play some sixties on netflix	PlayMusic	3
3894	i need the weather at noon for e a  vaughn wildlife management area	GetWeather	2
6687	tell me if it ll be colder next november in granite-steppe lands of buh	GetWeather	2
4053	i would like you to add now the hits of winter 2008 onto my ntc studio sounds playlist 	AddToPlaylist	0
31	i want to give this current textbook 4 points 	RateBook	4
1228	give 4 points to this textbook	RateBook	4
3954	book a table for 6 at a restaurant in pershing square  manhattan at two am	BookRestaurant	1
7608	find a painting called songs from tsongas	SearchCreativeWork	5
5537	look for the chu chu and the philly flash picture	SearchCreativeWork	5
5583	how can i watch the television show tinker bell and the legend of the neverbeast	SearchCreativeWork	5
10338	play eighties music by kaira kwong on google music	PlayMusic	3
6142	tell me if there will be hail at tea time in nordland	GetWeather	2
10654	give this album three out of 6 points	RateBook	4
4097	find a novel called kiss me licia 	SearchCreativeWork	5
11655	use itunes to play music	PlayMusic	3
7045	what movie theatre has a matter of wife    and death	SearchScreeningEvent	6
554	when is for lovers only playing	SearchScreeningEvent	6
1635	list films at pacific theatres	SearchScreeningEvent	6
4736	book in west palm beach for glenda  lois and tamra at a nearby restaurant serving puglia	BookRestaurant	1
5989	what is the forcast now in kansas	GetWeather	2
7426	does wildorado have a hot temperature	GetWeather	2
7434	find the book the crowd roars	SearchCreativeWork	5
1675	i give 3 of 6 stars for the current textbook	RateBook	4
3514	what are the movie times for animated movies in the area	SearchScreeningEvent	6
4291	play movement music from 1954	PlayMusic	3
11733	help me locate the tristan betrayal	SearchCreativeWork	5
9396	give five out of 6 stars to current essay	RateBook	4
2590	play a top fifty ballad by linda strawberry on google music	PlayMusic	3
4540	book sot for one at restaurant with wifi	BookRestaurant	1
6420	find manthra mothiram at century theatres	SearchScreeningEvent	6
8470	in the neighbourhood find 11 p m  movie schedules for movies	SearchScreeningEvent	6
8260	show me the movie schedule 	SearchScreeningEvent	6
665	i want to listen to the song first time for everything	SearchCreativeWork	5
3660	play me a felix kubin from no light on spotify	PlayMusic	3
10141	forecast for 11 am in nauru	GetWeather	2
6224	play pandora tracks by akhtar sadmani	PlayMusic	3
11219	play songs from youtube	PlayMusic	3
9557	play the most popular stuff by tina dico	PlayMusic	3
3310	can i get the showtimes for films at the closest movie house 	SearchScreeningEvent	6
11760	i d like to put duett onto my hot country playlist 	AddToPlaylist	0
2085	where is white bim black ear	SearchScreeningEvent	6
739	i want television show come again smith	SearchCreativeWork	5
6724	show me skyfall: original motion picture soundtrack  	SearchCreativeWork	5
9600	what movie schedule are in the area for animated movies	SearchScreeningEvent	6
2975	what are the movie schedules for santikos theatres	SearchScreeningEvent	6
4538	give this essay a 2 out of 6 	RateBook	4
1446	what movie theatre is playing the missing picture	SearchScreeningEvent	6
7906	play the best ballad by the rascals 	PlayMusic	3
3811	rate the plutonium files a five	RateBook	4
9927	i want a mi lu bing song in my pop dance playlist  	AddToPlaylist	0
8849	play my entertaining playlist	PlayMusic	3
2859	add artist to my playlist primavera sound 2016 barcelona	AddToPlaylist	0
5979	add the fire and the wind to my digster future hits playlist 	AddToPlaylist	0
4872	show creativity of doomsday comfort	SearchCreativeWork	5
423	play my sophisticated dinner playlist on slacker	PlayMusic	3
3769	search for the trailer the thieving magpie	SearchCreativeWork	5
13040	add tune to my playist the piano bar	AddToPlaylist	0
982	i need to book a table at a nearby restaurant	BookRestaurant	1
7697	book a spot for six at a restaurant that serves fish and chips	BookRestaurant	1
10581	is flow: for love of water playing at southern theatres at 2 am	SearchScreeningEvent	6
9183	book a reservation for 4 at a bar serving corn relish	BookRestaurant	1
12630	is it hot in round hill hi	GetWeather	2
5674	i want to eat at the bar saint vincent and the grenadines at thursday for five people	BookRestaurant	1
2338	is it cold in the current location more than it was in 3 years 	GetWeather	2
5523	i need a photograph of the oregon desert	SearchCreativeWork	5
12905	book a spot for six at bear hotel in 5 seconds 	BookRestaurant	1
11535	look for fighting vipers 2	SearchCreativeWork	5
10917	add the current tune to my rock gaming playlist	AddToPlaylist	0
5130	i want to watch the tv show down on abby	SearchCreativeWork	5
8485	i want to add something by jarvis cocker to my rock español playlist	AddToPlaylist	0
7492	add the album to my top 100 indie tracks on spotify playlist	AddToPlaylist	0
7689	find a highly rated brasserie restaurant in liberia and book a table for 5	BookRestaurant	1
4267	turn on google music to play 1991	PlayMusic	3
8151	i give this essay 0 of 6 stars	RateBook	4
1279	i want to put roberto valverde into my ultra metal list	AddToPlaylist	0
1810	show me the television show operation thunderbolt	SearchCreativeWork	5
7951	will it be warmer at lunch in prentice  armenia	GetWeather	2
1683	give me the forecast for the weather in citrus springs	GetWeather	2
6600	what will it be like in the current place at midnight	GetWeather	2
13015	let s play the album handover on deezer	PlayMusic	3
278	what movies are scheduled at plitt theatres	SearchScreeningEvent	6
2019	can i get a table for 3 in gu at a restaurant in the neighboring area that serves chicken french	BookRestaurant	1
12390	can i hear anna vissi s new music on pandora	PlayMusic	3
11874	find movie schedules for star theatres 	SearchScreeningEvent	6
12790	is it going to be nice in sandoval belgium	GetWeather	2
4418	find hope & other sins  a tv show	SearchCreativeWork	5
1555	add tune to infinite indie folk	AddToPlaylist	0
6581	play music from lastfm and deezer 	PlayMusic	3
2655	is the tender years at the nearest movie theatre	SearchScreeningEvent	6
2791	book a restaurant within the same area of ely for 10 people 	BookRestaurant	1
2517	rate a pelican at blandings a 2 	RateBook	4
11702	book a table in connecticut in robinette for one second from now	BookRestaurant	1
346	play something by brian chase 	PlayMusic	3
9046	find the another ticket game	SearchCreativeWork	5
7921	rate this textbook 2 points 	RateBook	4
5195	add steel guitar rag in acoustic covers the mash ups	AddToPlaylist	0
12633	i d like to reserve a table in northcote 	BookRestaurant	1
439	rate the current novel a two	RateBook	4
5027	book a table for six at the cherry street tavern for january sixteenth  2024	BookRestaurant	1
8830	play slow rock music	PlayMusic	3
5527	find the schedule for tube at the closest movie theatre 	SearchScreeningEvent	6
7383	what is the weather like now in ak	GetWeather	2
5120	find the movie schedules at the neighborhood cinema group	SearchScreeningEvent	6
8028	i would rate this essay four stars	RateBook	4
4867	book me seats for 6 at a restaurant in wv in one second	BookRestaurant	1
82	find a video game called a stroll in the pork	SearchCreativeWork	5
7174	give the current novel i am reading a five stars rating 	RateBook	4
3012	show creative picture of brenda’s got a baby	SearchCreativeWork	5
11992	add this tune to my rage radio playlist	AddToPlaylist	0
8828	what will the weather be in overton at 8 pm	GetWeather	2
9013	find a movie schedule 	SearchScreeningEvent	6
9553	i give the history of the saracens a three  or 6 points	RateBook	4
3291	how cold is it in martinique	GetWeather	2
334	what is the forecast for the current spot for cloudy conditions	GetWeather	2
10427	is there a storm in new mexico in fort sumner 	GetWeather	2
7998	find a reservation for a highly rated steakhouse in china for a party of five at 05:51:52	BookRestaurant	1
645	add hot house to have you met miss jones	AddToPlaylist	0
2017	rate opération sweet tooth 2 points	RateBook	4
3011	book a reservation for me  marva and barbara at a restaurant with parking	BookRestaurant	1
8810	what s the weather in kiahsville in the cayman islands	GetWeather	2
7027	i need a weather forecast for laos at one am	GetWeather	2
5968	find a movie called no more sadface	SearchCreativeWork	5
5631	i d like to book 4 seats at a restaurant 	BookRestaurant	1
13044	add gabrial mcnair to my love in paris list	AddToPlaylist	0
9150	use the service lastfm to play artist keren peles from the most popular symphony	PlayMusic	3
4071	play some happy gabber 	PlayMusic	3
6655	i want to book a pub in ms that serves festoni	BookRestaurant	1
1633	rate the current album 5 out of 6 points	RateBook	4
