ID	TEXT	INTENT	INTENT_ID
6896	play some gospel music 	PlayMusic	3
2854	play me here encore of greydon square	PlayMusic	3
6369	i want to read the book between a rock and a hard place	SearchCreativeWork	5
12021	to play my piano ballads	PlayMusic	3
7062	book a restaurant in Mänmar for 4 people	BookRestaurant	1
3682	When can his English wife be seen in the Kiez cinema?	SearchScreeningEvent	6
7584	when is one sunday morning scheduled to be played	SearchScreeningEvent	6
6586	what will the weather be like in the falkland islands starting may 25  2022	GetWeather	2
3225	use spoofy to play Nina Persson from 1962	PlayMusic	3
9002	Lets hear some music from 2009	PlayMusic	3
7237	Show creative game, fear your neighbor	SearchCreativeWork	5
9356	Where can I observe chaos and cravings?	SearchScreeningEvent	6
2507	What is the weather like in new zealand	GetWeather	2
6891	can i get the showings for films at the nearest cinema in 1 minute 	SearchScreeningEvent	6
4739	Live images from the El rey Theatre	SearchCreativeWork	5
9200	find a cineplex odeon corporation showing movies	SearchScreeningEvent	6
3328	add you to my timeless playlist of love songs	AddToPlaylist	0
12139	What time does Johnny get his gun?	SearchScreeningEvent	6
4337	play any track by flame	PlayMusic	3
6471	What movies are played in the area?	SearchScreeningEvent	6
8682	Find a reservation for six people in a first-class brasserie	BookRestaurant	1
672	They play a movement from the Nineties	PlayMusic	3
11865	add artist to playlist classic punk	AddToPlaylist	0
11915	Where can I find the work that rained that night?	SearchCreativeWork	5
2066	find a reasonable path to mediation	SearchCreativeWork	5
6763	when is old enough showing at the movie house	SearchScreeningEvent	6
1365	give the Frog Prince 2 points out of 6	RateBook	4
10500	add robin trower to the medieval 50 spotify picks playlist  	AddToPlaylist	0
8231	Book a restaurant for me in ten minutes	BookRestaurant	1
12587	What is the random forecast for hot temperatures on the lake?	GetWeather	2
954	Forties chanson music on the last Fm	PlayMusic	3
11644	add the song to the dub on the beach playlist	AddToPlaylist	0
4964	What is the weather like on Sint Maan?	GetWeather	2
4828	can you please find the jack johnson en concert picture	SearchCreativeWork	5
8198	what s on the movie schedules at amco entertainment	SearchScreeningEvent	6
12709	What is the forecast for petersville oh	GetWeather	2
3875	Can you get a fine for a mysterious crossing	SearchScreeningEvent	6
11457	play the album resurrection in blood from sleepy brown on itunes 	PlayMusic	3
4626	rate this novel 1 of 6	RateBook	4
2165	Give this novel 3 of 6	RateBook	4
513	find movie schedules for nearby films 	SearchScreeningEvent	6
12547	predicted to cool in 1 second	GetWeather	2
9249	use the shark for today's and tomorrow's album	PlayMusic	3
4357	Add peace to the Latin pop playlist	AddToPlaylist	0
2103	contemporary religious satanism gets a rating of 3  	RateBook	4
1846	Find out that all the jets will drop today.	SearchCreativeWork	5
11509	i think that this essay merits four stars	RateBook	4
6973	what s the forecast for il around tea time 	GetWeather	2
2951	book a table for ten people	BookRestaurant	1
8694	i want food in zaleski	GetWeather	2
11315	play bluehead music from a tattoo on a slacker	PlayMusic	3
3309	Seal team's TV shows play me	SearchCreativeWork	5
3424	Rating of current novel 5 stars	RateBook	4
8006	Find the schedule for idols made of sound in a cinema	SearchScreeningEvent	6
1226	give me the movie schedule for the great escape theatres	SearchScreeningEvent	6
11114	give 2 out of 6 points to the tale of the city of time	RateBook	4
9748	Of the six stars, the latest novel gets only four	RateBook	4
12557	i m looking for the album called disorderly conduct: video on patrol	SearchCreativeWork	5
1872	restaurant in durant for 3 pm	BookRestaurant	1
358	add blood guts & glory to my this is chopin	AddToPlaylist	0
12646	add the hope that it is enrique iglesias	AddToPlaylist	0
3253	Show me movie times in the movie theatres	SearchScreeningEvent	6
4121	put Mamad Reza Shajarian's album in my chillin on the DJ's playlist	AddToPlaylist	0
11488	what s the weather going to be like near sawtooth national recreation area at 2 pm 	GetWeather	2
10774	Find Kerasoten cinemas Schedule	SearchScreeningEvent	6
341	What cinema is the next to show films?	SearchScreeningEvent	6
7291	she me the sons of satan praise the lord picture	SearchCreativeWork	5
3674	i would rate eater of wasps a value of zero and a best rating of 6	RateBook	4
11348	rate the event as 4 out of 6 stars.	RateBook	4
4187	make me a reservation on a taba in a chicken coop	BookRestaurant	1
11337	add track to this is zezé di camargo & luciano playlist	AddToPlaylist	0
10152	play leanne dobinson right to dream	PlayMusic	3
6122	evaluate this novel as one of 6	RateBook	4
2909	add the artist joseph meyer to my mad cool festival 2017 playlist	AddToPlaylist	0
8873	look for the tv series the stars at saint andrea	SearchCreativeWork	5
398	Give this novel a four-star rating	RateBook	4
