ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
1114	flight from milwaukee to chicago	O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 79 24 73
109	what is the least expensive fare from baltimore to san francisco leaving on september thirtieth	O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number	atis_airfare	0	24 24 24 55 56 24 24 79 24 73 74 24 24 87 97
3228	show me the nonstop flights from atlanta to oakland that leave in the afternoon and arrive between 430 pm and 630 pm	O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O O O B-arrive_time.period_of_day O O O B-arrive_time.start_time I-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time	atis_flight	2	24 24 24 59 24 24 79 24 73 24 24 24 24 49 24 24 24 39 40 24 53 54
1898	Lastly i'd like one translation to see the gave flights from baltimore to the philadelphia name an Italianate touch by rendering it as unk this work unk mixed proper 	O O O O O O O O O O O B-fromloc.city_name O O B-toloc.city_name O O O O O O O O O O O O O O 	atis_flight	2	24 24 24 24 24 24 24 24 24 24 24 79 24 24 73 24 24 24 24 24 24 24 24 24 24 24 24 24 24
2433	what flights go from boston to dallas	O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 79 24 73
4168	what is fare code q	O O O O B-fare_basis_code	atis_abbreviation	14	24 24 24 24 31
1710	okay junior world does twa have a flight ranking from and he dallas to entered his first san francisco tournament as a professional during in unk where he lost to 	O O O O B-airline_code O O O O O O O B-fromloc.city_name O O O O B-toloc.city_name I-toloc.city_name O O O O O O O O O O O 	atis_flight	2	24 24 24 24 129 24 24 24 24 24 24 24 79 24 24 24 24 73 74 24 24 24 24 24 24 24 24 24 24 24
4370	The which Archaeology airlines of Ritual and Magic was go reviewed by John Hutchings for the Folklore from journal the published arm of The san francisco to washington by way of indianapolis 	O O O O O O O O O O O O O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name 	atis_airline	15	24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 79 80 24 73 24 24 24 133
4380	which airlines fly from boston to san francisco	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airline	15	24 24 24 24 79 24 73 74
1215	In Oahu areas i would on like some the windward side of information on a the flight island from denver to received more san than in francisco mm of on rain united airlines on August from 	O O O O O O O O O O O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name O O I-toloc.city_name O O O O B-airline_name I-airline_name O O O 	atis_flight	2	24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 79 24 24 24 73 24 24 74 24 24 24 24 65 66 24 24 24
1615	please He spent most show of me flights from his fees pittsburgh on paintings to atlanta forgetting on to wednesday keep enough morning serving money breakfast to pay US tax on his 	O O O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name O O O B-depart_date.day_name O O B-depart_time.period_of_day O O B-meal_description O O O O O O 	atis_flight	2	24 24 24 24 24 24 24 24 24 24 24 79 24 24 24 73 24 24 24 107 24 24 91 24 24 57 24 24 24 24 24 24
2235	Homer is enters there a united flight from baltimore the to Cheers bar in san francisco on a the morning of scene august twenty seventh which is a parody of a typical episode of the comedy series 	O O O O O B-airline_name O O B-fromloc.city_name O O O O O B-toloc.city_name I-toloc.city_name O O O B-depart_time.period_of_day O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O O O O O O O O O O 	atis_flight	2	24 24 24 24 24 65 24 24 79 24 24 24 24 24 73 74 24 24 24 91 24 24 87 97 98 24 24 24 24 24 24 24 24 24 24 24 24
3924	i'm looking for ground transportation in dallas	O O O O O O B-city_name	atis_ground_service	12	24 24 24 24 24 24 12
3721	billion what is the seating capacity for the going for f28 short term solutions including tent camps temporary shelters and cash grants that paid a year s 	O O O O O O O O O O B-aircraft_code O O O O O O O O O O O O O O O O 	atis_capacity	3	24 24 24 24 24 24 24 24 24 24 143 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24
1310	i would unk rifle like to divisions were travel organized from along the Soviet boston to denver model with three motorised rifle regiments one tank regiment and a 	O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O O O O O O 	atis_flight	2	24 24 24 24 24 24 24 24 24 24 24 24 24 24 79 24 73 24 24 24 24 24 24 24 24 24 24 24
2636	how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-return_date.date_relative O O O O O O O O O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73 24 24 24 24 24 27 24 24 24 24 24 24 24 24 24 73
4178	what fare codes cover flights Darden holds Cleveland from Browns franchise philadelphia records with career to san francisco interceptions single season interceptions and interception return yards 	O O O O O O O O O O O B-fromloc.city_name O O O O B-toloc.city_name I-toloc.city_name O O O O O O O O 	atis_abbreviation	14	24 24 24 24 24 24 24 24 24 24 24 79 24 24 24 24 73 74 24 24 24 24 24 24 24 24
