ID	TEXT	INTENT	INTENT_ID
667	now i'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta	atis_flight_time	11
3202	please list the flights from new york to los angeles	atis_flight	9
4474	what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two	atis_flight	9
224	Please give me flights from Francisco to Washington	atis_flight	9
128	Early-morning flights between Kinjati and Tampa	atis_flight	9
2482	Give Me Flights From Denver to Baltimore	atis_flight	9
801	Show me the last flight, to love the field	atis_flight	9
4301	list all flights from memphis to seattle	atis_flight	9
747	List non-stop Wednesday flights from 11: 15 a.m. to 12: 45 p.m., arriving in Baltimore from Miami to Baltimore	atis_flight	9
3757	please list the morning flights from st. louis to st. paul	atis_flight	9
1548	First Class Return Flight from Indianapolis to Memphis	atis_airfare	2
4378	show me the flights from san francisco to pittsburgh on tuesday	atis_flight	9
1648	Show me the flights from Philadelphia to Dallas with one stop	atis_flight	9
2376	show me the cheapest flight on june fourteenth arriving in baltimore starting from dallas	atis_flight	9
1943	list all flights going from boston to atlanta before 7 am on thursday	atis_flight	9
1288	Please show me all the flights from Indiana to New York tomorrow	atis_flight	9
2583	Are Continental Airlines flying from Denver to France?	atis_flight	9
1608	all flights and flights from Denver to Pittsburgh with us on Thursday Flight No. 1039	atis_flight	9
4451	i would like an afternoon flight from washington to boston on august twentieth	atis_flight	9
289	show me the latest flight from las vegas to denver	atis_flight	9
2397	i'd like to fly from boston to san francisco	atis_flight	9
312	Can you list all flights between Milwaukee and Chicago?	atis_flight	9
3571	From Philadelphia to Toronto.	atis_flight	9
1405	show me flights from dallas to san francisco on wednesdays	atis_flight	9
4150	Show me the flights from San Francisco to Pittsburgh for Tuesday and also the price	atis_flight	9
4155	i would like to book an early morning flight from tampa to charlotte on april sixth	atis_flight	9
2528	show me round trip tickets from new york to miami	atis_airfare	2
1067	Please list all available flights from Duacanda to Philadelphia on Wednesday	atis_flight	9
2254	i'd like to find a us air flight from Orlando to Cleveland that arrives about 10 o'clock in the evening	atis_flight	9
3138	show me all canadian airlines flights from toronto	atis_flight	9
1050	list the flights from dallas to baltimore	atis_flight	9
2419	show me all flights from Indians to us live	atis_flight	9
2957	what ground transportation is available in boston	atis_ground_service	13
358	Show me all the Chifas from New York to Miami on Tuesdays	atis_airfare	2
334	Show me flights Monday night after 8 p.m. for Dallas to Boston	atis_flight	9
1898	do you have a night flight from washington to boston on the twenty-seventh of august?	atis_flight	9
