ID	TEXT	SLOTS	INTENT	INTENT_ID	SLOTS_ID
1089	i would like to fly from salt lake city back to st. petersburg on wednesday	O O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name	atis_flight	2	24 24 24 24 24 24 79 80 80 24 24 73 74 24 107
2492	list flights from phoenix to detroit on wednesday	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name	atis_flight	2	24 24 24 79 24 73 24 107
3362	okay that sounds great let's go from atlanta on april twenty one in the morning to dallas least expensive fare one way	O O O O O O O B-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O B-depart_time.period_of_day O B-toloc.city_name B-cost_relative I-cost_relative O B-round_trip I-round_trip	atis_flight	2	24 24 24 24 24 24 24 79 24 87 97 98 24 24 91 24 73 55 56 24 6 7
882	i want a flight from denver to pittsburgh then from pittsburgh to atlanta then from atlanta back to pittsburgh back to denver	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O O B-toloc.city_name O O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73 24 24 79 24 73 24 24 79 24 24 73 24 24 73
3811	i want to go and take a plane in atlanta and fly to boston	O O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name	atis_aircraft	7	24 24 24 24 24 24 24 24 24 79 24 24 24 73
4029	what is the ground transportation from boston airport to boston downtown	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name O	atis_ground_service	12	24 24 24 24 24 24 145 146 24 73 24
3962	how do i get to philadelphia downtown from the airport	O O O O O B-toloc.city_name O O O O	atis_ground_service	12	24 24 24 24 24 73 24 24 24 24
2055	i would like a flight from philadelphia to dallas that makes a stop in atlanta	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-stoploc.city_name	atis_flight	2	24 24 24 24 24 24 79 24 73 24 24 24 24 24 133
3649	does american airlines fly from boston to san francisco	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 65 66 24 24 79 24 73 74
3630	please find the earliest possible flight from boston to denver	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 141 24 24 24 79 24 73
2478	show me all round trip flights between houston and las vegas	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 24 6 7 24 24 79 24 73 74
2078	how do you travel from san francisco airport to downtown san francisco	O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 24 24 24 145 146 146 24 24 73 74
3897	is there ground transportation in oakland	O O O O O B-city_name	atis_ground_service	12	24 24 24 24 24 12
2039	list daily flights from denver to boston	O B-flight_days O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 2 24 24 79 24 73
3488	i'd like to book the cheapest one way flight from denver to pittsburgh	O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 55 6 7 24 24 79 24 73
4345	please show me airlines with flights from denver to boston with a stopover in philadelphia	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name	atis_airline	15	24 24 24 24 24 24 24 79 24 73 24 24 24 24 133
4331	show me airline abbreviations	O O O O	atis_airline	15	24 24 24 24
1212	find all flights from philadelphia to dallas stopping in atlanta	O O O O B-fromloc.city_name O B-toloc.city_name O O B-stoploc.city_name	atis_flight	2	24 24 24 24 79 24 73 24 24 133
1891	what is the earliest flight from boston to atlanta	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 141 24 24 79 24 73
3064	what are the flights from memphis to tacoma	O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 79 24 73
574	you give me a list of the from atlanta to boston	O O O O O O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 24 24 24 79 24 73
1150	i would like a nonstop flight from memphis to las vegas on march second	O O O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number	atis_flight	2	24 24 24 24 59 24 24 79 24 73 74 24 135 105
3769	how many flights does eastern airlines have from boston to atlanta	O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name	atis_quantity	4	24 24 24 24 65 66 24 24 79 24 73
830	i would like an american flight from toronto to san diego with a stopover in denver please	O O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O	atis_flight	2	24 24 24 24 65 24 24 79 24 73 74 24 24 24 24 133 24
2061	flights from phoenix las vegas	O O B-fromloc.city_name B-toloc.city_name I-toloc.city_name	atis_flight	2	24 24 79 73 74
902	show flights from atlanta to baltimore	O O O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 79 24 73
2921	show me all flights from philadelphia to boston on monday which serve a meal and arrive before noon	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O O O B-meal O O B-arrive_time.time_relative B-arrive_time.time	atis_flight	2	24 24 24 24 24 79 24 73 24 107 24 24 24 123 24 24 51 103
4399	what airlines from boston to san francisco	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	atis_airline	15	24 24 24 79 24 73 74
2413	please give me flight schedules from baltimore to philadelphia	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 151 152 24 79 24 73
1373	now please give me the latest flight tomorrow on twa from milwaukee to tacoma	O O O O O B-flight_mod O B-depart_date.today_relative O B-airline_code O B-fromloc.city_name O B-toloc.city_name	atis_flight	2	24 24 24 24 24 141 24 71 24 129 24 79 24 73
