ID	TEXT	INTENT	SLOTS	INTENT_ID	SLOTS_ID
1164	boston denver tuesday october fifteenth	atis_flight	B-fromloc.city_name B-toloc.city_name B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number	12	71 112 36 39 37
2644	charlotte newark tuesday evening	atis_flight	B-fromloc.city_name B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day	12	71 112 36 46
3241	us 201	atis_flight	B-airline_code B-flight_number	12	2 63
348	economy class	atis_quantity	B-economy I-economy	20	54 55
694	united airlines from boston to dallas fort worth	atis_flight	B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name	12	3 4 0 71 0 112 113 113
3809	early morning chicago seattle june first continental airline	atis_flight	B-depart_time.period_of_day B-depart_time.period_of_day B-fromloc.city_name B-toloc.city_name B-depart_date.month_name B-depart_date.day_number B-airline_name I-airline_name	12	46 46 71 112 39 37 3 4
4077	first montreal toronto friday	atis_flight	B-flight_mod B-toloc.city_name B-fromloc.city_name B-arrive_date.day_name	12	61 112 71 9
4373	midwest	atis_city	B-airline_name	10	3
2281	round trip denver oakland	atis_airfare	B-round_trip I-round_trip B-fromloc.city_name B-toloc.city_name	4	96 97 71 112
3893	earliest philadelphia dallas	atis_flight	B-flight_mod B-fromloc.city_name B-toloc.city_name	12	61 71 112
3303	american airlines	atis_aircraft	B-airline_name I-airline_name	2	3 4
380	pittsburgh denver san francisco monday	atis_airline	B-fromloc.city_name B-toloc.city_name B-toloc.city_name I-toloc.city_name B-depart_date.day_name	5	71 112 112 113 36
2107	what tampa to cincinnati	atis_flight	O B-fromloc.city_name O B-toloc.city_name	12	0 71 0 112
1662	fort worth	atis_ground_service	B-city_name I-city_name	17	25 26
2593	show ground in westchester county	atis_ground_service	O O O B-city_name I-city_name	17	0 0 0 25 26
1853	salt lake city st. petersburg wednesday	atis_flight	B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name B-toloc.city_name I-toloc.city_name B-depart_date.day_name	12	71 72 72 112 113 36
1054	denver baltimore san francisco	atis_airline	B-stoploc.city_name B-fromloc.city_name B-toloc.city_name I-toloc.city_name	5	101 71 112 113
1726	new york miami tuesday	atis_airfare	B-fromloc.city_name I-fromloc.city_name B-toloc.city_name B-depart_date.day_name	4	71 72 112 36
625	all arriving at general mitchell international	atis_flight	O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name	12	0 0 0 110 111 111
2440	continental airlines washington philadelphia	atis_flight	B-airline_name I-airline_name B-fromloc.city_name B-toloc.city_name	12	3 4 71 112
2724	thrift economy san francisco boston	atis_flight	B-class_type B-economy B-toloc.city_name I-toloc.city_name B-fromloc.city_name	12	27 54 112 113 71
2870	indianapolis toronto toronto thursday morning	atis_flight	B-fromloc.city_name B-toloc.city_name B-toloc.city_name B-arrive_date.day_name B-arrive_time.period_of_day	12	71 112 112 9 17
3414	denver atlanta june sixteenth	atis_flight	B-fromloc.city_name B-toloc.city_name B-depart_date.month_name B-depart_date.day_number	12	71 112 39 37
828	cheapest round trip pittsburgh atlanta	atis_airfare	B-cost_relative B-round_trip I-round_trip B-fromloc.city_name B-toloc.city_name	4	30 96 97 71 112
4153	flights from boston to washington next tuesday	atis_flight	O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name	12	0 0 71 0 112 35 36
1382	washington montreal	atis_airfare	B-fromloc.city_name B-toloc.city_name	4	71 112
3556	pittsburgh atlanta	atis_airfare	B-fromloc.city_name B-toloc.city_name	4	71 112
3826	flights from dallas to houston sunday	atis_flight	O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name	12	0 0 71 0 112 36
65	toronto san diego	atis_airline	B-fromloc.city_name B-toloc.city_name I-toloc.city_name	5	71 112 113
392	a first class flight to san francisco american airlines tuesday next	atis_flight	O B-class_type I-class_type O O B-toloc.city_name I-toloc.city_name B-airline_name I-airline_name B-depart_date.day_name B-depart_date.date_relative	12	0 27 28 0 0 112 113 3 4 36 35
2573	delta 217 dallas san francisco	atis_airfare	B-airline_name B-flight_number B-fromloc.city_name B-toloc.city_name I-toloc.city_name	4	3 63 71 112 113
1894	me american flights from dallas san francisco	atis_flight	O B-airline_name O O B-fromloc.city_name B-toloc.city_name I-toloc.city_name	12	0 3 0 0 71 112 113
3792	show flights tampa to st. louis	atis_flight	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name	12	0 0 71 0 112 113
163	boston washington lowest one way saturday	atis_flight	B-fromloc.city_name B-toloc.city_name B-cost_relative B-round_trip I-round_trip B-depart_date.day_name	12	71 112 30 96 97 36
1802	pittsburgh san francisco pittsburgh after 12 pm	atis_flight	B-fromloc.city_name B-toloc.city_name I-toloc.city_name B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time	12	71 112 113 71 52 50 51
